категорија	kategooria
година	aasta
како	kuidas
како	nagu
како	meeldib
што	mis
што	mida
дека	see
дека	seda
бил	bill
бил	arve
кои	kes
кои	keda
кои	mis
или	kas
кој	kes
кој	keda
тоа	see
тоа	seda
други	muu
други	muud
други	muud
други	teised
која	mis
била	oli
македонија	makedoonia
кога	millal
кога	kui
страна	külg
биле	olid
дел	osas
дел	del
дел	dell
околу	umbes
околу	ümber
околу	ringi
време	kellaaeg
време	aeg
време	aja
време	ajas
време	aega
век	sajandi
век	sajand
под	all
може	võiks
може	saaks
може	oskab
може	saab
неговата	tema
еден	ühe
еден	üks
врски	sidemed
врски	lingid
исто	sama
исто	samad
надворешни	välised
надворешни	välise
надворешни	väline
повеќе	rohkem
податоци	andmed
каде	kus
каде	kuhu
многу	väga
многу	much
многу	palju
многу	partii
многу	palju
многу	krunt
објекти	rajatised
објекти	rajatiste
објекти	objektid
години	aastad
календар	kalender
сите	kõik
сите	kõik
сите	igaüks
една	ühe
една	üks
меѓу	seas
меѓу	sekka
меѓу	vahel
било	iga
пред	enne
ова	see
ова	selle
ова	seda
јазик	keele
јазик	keel
јазик	keele
само	ainult
само	lihtsalt
каталог	kataloog
каталог	kataloogi
таа	ta
број	number
број	arv
овој	see
овој	selle
овој	seda
градот	linn
градот	linna
градот	city
беше	oli
општ	üldine
кај	bei
оваа	see
оваа	selle
оваа	seda
тие	need
тие	nad
нов	uued
нов	uus
нов	new
селото	sapporo
времето	ilm
времето	kellaaeg
времето	aeg
времето	aja
времето	ajas
времето	aega
некои	mõned
претставува	esindab
место	spot
место	koht
место	toimumiskoht
овие	need
овие	neid
општина	omavalitsus
општина	vald
започнува	algab
започнува	algab
започнува	alustab
светот	maailma
светот	maailm
преку	via
преку	läbi
македонски	makedoonia
неколку	vähesed
неколку	mitmed
неколку	mitu
земјата	maa
две	kaks
небо	sky
небо	taevas
небо	taevas
уште	ikkagi
уште	ikka
уште	rohkem
список	nimekiri
список	loetelu
список	loend
неговиот	tema
септември	september
септември	septembris
споменува	mainib
споменува	mainitakse
кое	mis
сјај	kuma
град	linn
град	linna
град	linn
град	linna
град	city
агол	nurk
агол	nurka
агол	nurk
село	küla
село	külas
информации	info
информации	teave
информации	info
информации	informatsioon
германија	saksamaa
помеѓу	vahel
црква	kiriku
црква	kirik
подоцна	hiljem
познати	teada
познати	teadaolevad
познати	teadaolev
познати	tuntud
познати	kuulsad
познати	kuulus
жители	elanikke
жители	elanikud
жители	elanikud
жители	residendid
бидејќи	kuna
бидејќи	sest
треба	vaja
треба	vajadus
својата	oma
мини	mini
мини	kaevandused
мини	miinid
мини	minnie
против	vastu
голем	suured
голем	suure
голем	suur
голем	suured
голем	big
голем	suure
голем	suur
период	periood
период	perioodi
период	ajavahemik
луѓе	meestele
луѓе	mehed
луѓе	inimesed
луѓе	rahvas
луѓе	people
војна	sõda
сад	usas
сад	usa
скопје	skopje
република	vabariik
три	kolm
без	ilma
помош	abi
помош	abi
помош	appi
помош	aidake
помош	mayday
поделба	diviis
поделба	rajoon
поделба	osakond
поделба	partitsiooni
поделба	jaga
космос	kosmos
над	üle
над	eespool
над	ülalpool
над	ülal
неговите	tema
иако	kuigi
иако	ehkki
иако	kuigi
низ	läbi
села	külad
села	külasid
пример	näidis
пример	näide
јазици	keeli
јазици	keeled
потоа	seejärel
потоа	siis
денес	täna
начин	way
два	kaks
точка	täpp
точка	dot
точка	täppi
точка	punkt
точка	punkti
точка	point
заедно	koos
заедно	üheskoos
литература	kirjandus
пак	uuesti
пак	taas
пак	jälle
пак	pac
него	teda
покрај	kõrval
сепак	sellegipoolest
сепак	ikkagi
сепак	ikka
своите	oma
објект	objekti
објект	objekt
објект	rajatis
јануари	jaanuar
систем	süsteemi
систем	süsteem
систем	system
име	nimi
име	nimetus
име	name
име	nime
десно	õigus
десно	paremale
десно	õige
основни	hädavajalik
основни	põhi
основни	põhiline
сателитот	satelliit
можат	oskab
можат	saab
користи	use
користи	kasutamine
користи	kasutamiseks
користи	kasuta
користи	kasutus
нив	neid
класификација	liigitamine
класификација	klassifitseerimine
класификација	klassifikatsioon
класификација	liigitus
група	rühm
група	grupp
група	grupis
истражувања	vaatlused
истражувања	uuringud
истражувања	uurimistöö
истражувања	teadusuuringud
истражувања	uuringud
европа	euroopa
европа	europe
прв	kõigepealt
прв	esmalt
прв	esimene
држави	riigid
држави	riigid
откриен	tuvastati
откриен	tuvastatud
откриен	avastatud
откриен	avastati
откриен	paljastatud
проучување	õppimine
проучување	uuring
пат	pat
пат	maantee
пат	tee
пат	road
галаксии	galaktikate
август	august
вклучен	kaasatud
вклучен	kihlatud
предмет	kirje
предмет	element
предмет	objekti
предмет	objekt
предмет	teema
предмет	subjekti
предмет	subjekt
астрономски	astronoomiline
соѕвездие	tähtkuju
набљудување	tähelepanek
набљудување	vaatluse
набљудување	vaatlus
мај	mai
истражувачи	uurijad
истражувачи	teadlased
истражувачи	uurijad
критериуми	kriteeriumid
март	märts
користена	kasutatud
ѕвезди	staarid
ѕвезди	tähed
ѕвезди	tähtede
голема	suured
голема	suure
голема	suur
голема	suured
голема	big
голема	suure
голема	suur
секој	iga
цел	eesmärk
поделби	osakonnad
поделби	rajoonid
поделби	vaheseinad
оние	need
јули	juuli
америка	ameerika
америка	ameerika
цар	tsaar
цар	tsaari
цар	imperaator
цар	keiser
цар	tsaar
често	sageli
често	tihti
често	sageli
често	tihtipeale
често	tihti
поправени	fikseeritud
поправени	parandatud
припаѓа	kuulub
истражување	ülevaatus
истражување	uuring
истражување	uurimistöö
истражување	teadusuuringud
истражување	uuringud
работи	asjad
работи	asju
работи	töötab
работи	toimib
работи	töötamine
работи	kraam
градови	linnad
градови	linnad
места	kohad
места	täpid
места	istmed
април	aprill
роден	sündis
роден	sündinud
октомври	oktoober
земја	riik
земја	maa
повторно	uuesti
повторно	taas
повторно	jälle
око	silm
око	silma
франција	prantsusmaa
димензии	mõõtmed
димензии	mõõdud
округот	maakond
округот	maakonda
позната	teada
позната	teadaolevad
позната	teadaolev
позната	tuntud
позната	kuulsad
позната	kuulus
позната	tuttav
нивните	nende
галаксија	galaktika
галаксија	galaxy
игри	mängud
деклинација	kääne
историја	ajalugu
историја	ajaloo
откако	pärast
ноември	november
ноември	novembris
јуни	juuni
јуни	june
лакот	vibu
лакот	kummardus
теме	tipu
живот	life
живот	elu
северна	põhja
настани	üritused
настани	sündmused
ширина	laius
култура	kultuuri
култура	kultuur
пласман	seisu
центар	keskus
центар	keskele
центар	center
центар	keskel
центар	keskus
втората	teine
втората	teiseks
население	populatsioon
население	populatsiooni
население	rahvastik
население	elanikkond
население	rahvaarv
декември	detsember
мери	meri
мери	mary
мери	maarja
трае	kestab
дела	töötab
дела	toimib
дела	della
ден	päev
ден	päeva
состојба	riik
состојба	olek
состојба	osariik
состојба	seisukord
состојба	tingimus
состојба	seisund
дијаметар	läbimõõt
дијаметар	diameeter
рим	rooma
особено	eriti
особено	eriti
означена	märgitud
означена	märgistatud
италија	italia
италија	itaalia
тогаш	seejärel
тогаш	siis
реката	river
реката	jõgi
леќа	objektiivi
леќа	läätsed
земји	riigid
шаблон	muster
шаблон	mustri
шаблон	mall
шаблон	malli
вид	lahke
член	parlamendiliige
член	liige
член	artikkel
беа	olid
познат	teada
познат	teadaolevad
познат	teadaolev
познат	tuntud
познат	kuulsad
познат	kuulus
округ	maakond
округ	ringkond
округ	rajoon
затоа	seetõttu
затоа	seepärast
американски	ameeriklane
американски	ameerika
американски	american
област	oblast
област	pindala
област	valdkond
област	piirkond
област	ala
јужна	lõuna
јужна	lõuna
јужна	lõunasse
јужна	lõunas
едно	ühe
едно	üks
етапа	lava
етапа	staadium
етапа	etapp
износ	kogus
износ	summa
филмови	filmid
филмови	filmid
англиски	inglise
бугарија	bulgaaria
првенство	meistrivõistlused
првенство	meistrivõistluste
дури	isegi
грција	kreeka
однос	vahekord
однос	suhe
однос	seos
однос	suhted
содржи	sisaldab
милиони	mln
милиони	miljonit
милиони	miljon
милиони	miljoni
милиони	miljoneid
милиони	miljonid
збор	sõna
нивната	nende
февруари	veebruar
работа	töö
работа	töökoht
работа	tööd
работа	töö
работа	tööle
функција	funktsiooni
функција	funktsioon
држава	riik
држава	riik
држава	olek
држава	osariik
секоја	iga
секоја	iga
русија	venemaa
постои	eksisteerib
метри	meetrit
метри	meetri
метри	meetrit
нејзината	teda
нејзината	tema
големи	suured
големи	suure
големи	suur
големи	suured
големи	big
големи	suure
големи	suur
четири	neli
џон	john
џон	jon
олимписки	olympic
олимписки	olümpia
делови	osi
делови	osad
политика	poliitika
политика	poliitikast
политика	poliitika
видови	sortide
видови	sordid
видови	liigid
видови	liik
империја	impeerium
империја	impeeriumi
главен	ülemus
главен	pealik
главен	ülem
главен	põhi
главен	peamised
главен	main
главен	peamine
врска	lingi
врска	link
врска	seos
врска	suhe
врска	seos
врска	suhted
врска	side
врска	bond
свети	sära
свети	pühak
свети	saint
свети	kuma
вклучувајќи	sealhulgas
телескоп	teleskoobi
групи	grupid
групи	rühmad
најчесто	peamiselt
најчесто	enamjaolt
најчесто	enamasti
награда	tasu
награда	autasu
награда	auhinna
награда	auhind
награда	auhinnaks
награда	auhind
значи	tähendab
разговор	vestlus
разговор	vestlus
филм	filmi
филм	film
филм	filmi
филм	kile
филм	film
википедија	wikipedia
крај	lõpp
вода	vett
вода	vesi
резултат	skoor
резултат	punktisumma
резултат	tulemus
улога	rollis
улога	roll
улога	rolli
претседател	president
училиште	kooli
училиште	koolis
училиште	kool
страница	leht
страница	lehekülg
страница	page
страница	lehekülje
западна	läänemaa
западна	lääne
западна	western
нови	uued
нови	uus
нови	new
песни	laulud
песни	laule
организација	organisatsioon
организација	organisatsioon
лидери	liidrid
лидери	juhid
познато	tuttav
случај	case
случај	kohtuasi
случај	juhtum
редослед	tellimus
редослед	kord
редослед	järjekord
редослед	korraldus
редослед	ordu
сезона	hooaeg
игра	mängu
игра	mäng
веќе	juba
основа	põhjused
основа	alus
населба	asula
населба	naabrus
населба	ümbruskond
сили	jõud
обично	tavaliselt
обично	tavaliselt
бројни	arvukad
промени	muutused
промени	muudatused
промени	muutused
промени	muuda
промени	muudatus
промени	muutus
разлика	vahet
разлика	eristamine
разлика	diff
разлика	vahe
разлика	erinevus
употреба	kasutamine
употреба	kasutus
употреба	use
употреба	kasutamine
употреба	kasutamiseks
употреба	kasuta
употреба	kasutus
форма	kujund
форма	kuju
форма	kujuga
форма	vormi
форма	vorm
договор	kokkulepe
договор	tehing
договор	kokkulepe
договор	leping
договор	leping
договор	leping
договор	asutamisleping
изграден	ehitatud
изграден	konstrueeritud
изграден	ehitatud
некој	keegi
некој	keegi
лига	league
лига	liiga
влијание	kokkupõrge
влијание	mõju
влијание	mõju
друга	teine
членови	liikmed
членови	parlamendiliikmed
починал	surid
починал	suri
површина	pinnale
површина	pind
површина	töölaua
површина	töölaud
неа	teda
неа	tema
после	pärast
острови	saared
острови	saartele
вештачки	kunstlikult
вештачки	kunstlik
самиот	ennast
самиот	ise
ред	tellimus
ред	kord
ред	järjekord
ред	korraldus
ред	ordu
ред	rea
ред	rida
лица	isikuid
лица	isikud
лица	näod
друг	teine
почеток	alusta
почеток	algus
почеток	start
почеток	käivita
почеток	algus
народи	rahvaste
народи	rahvad
син	poja
син	poeg
албум	album
никола	nikola
никола	nicola
македонска	makedoonia
нова	uued
нова	uus
нова	new
австралија	austraalia
тур	tour
тур	tuur
тур	ringkäik
повеќето	enamikul
повеќето	enamus
повеќето	enamik
повеќето	enim
александар	aleksandr
александар	aleksander
александар	alexander
вилијам	william
татко	isa
татко	isa
движење	liikumine
движење	liigutamine
движење	liigub
движење	kolimine
движење	liikumine
дело	tööd
дело	töö
дело	tööle
власт	asutus
власт	ametiasutus
власт	power
власт	võimu
власт	võim
власт	võimsus
власт	jõud
прва	kõigepealt
прва	esmalt
прва	esimene
мора	peab
англија	inglismaal
англија	inglismaa
развој	arendamine
развој	arendus
развој	areng
развој	väljatöötamine
развој	arendamine
развој	areneb
деца	lapsed
деца	lapsed
лево	vasak
лево	vasakule
лево	vasakul
главно	peamiselt
главно	põhiliselt
главно	peamiselt
главно	enamjaolt
главно	enamasti
србија	serbia
сега	nyyd
сега	nüüd
кариера	karjäär
кариера	karjääri
кариера	karjäär
кариера	karjääri
општини	omavalitsused
храм	tempel
храм	temple
ниво	taseme
ниво	tase
ниво	tasand
облик	kujund
облик	kuju
облик	kujuga
тим	tim
тим	timi
тим	tiim
тим	meeskond
сателити	satelliidid
ера	ajastu
ера	era
музика	muusika
германски	saksa
германски	sakslane
видете	vaata
видете	vt
видете	näed
археолошки	arheoloogiline
близина	läheduses
близина	lähedal
дали	tegi
дали	teeb
универзитет	ülikool
море	meri
море	mere
пати	ajad
пет	viis
париз	pariis
париз	pariisi
целосно	täielikult
целосно	täielikult
целосно	täiesti
целосно	täiesti
поле	põld
поле	väli
минути	minutid
листа	nimekiri
листа	loetelu
листа	loend
мала	väikesed
мала	väike
мала	little
мала	väike
мала	vähe
вредност	väärtus
поделени	jagatud
британија	suurbritannia
британија	britannia
поврзани	ühendatud
поврзани	seotud
поврзани	seonduv
поврзани	seotud
саксонија	saksi
свет	maailma
свет	maailm
потекло	päritolu
потекло	laskumine
потекло	päritolu
владетел	valitseja
шпанија	hispaania
спорт	sportlik
спорт	sport
спорт	spordiala
спорт	sport
спорт	spordi
програма	programm
програма	programm
програма	programmi
мали	väikesed
мали	väike
мали	little
мали	väike
мали	vähe
мали	mali
куќа	house
куќа	majja
куќа	maja
институции	asutused
институции	institutsioonid
институции	institutsioone
буда	buddha
трка	ralli
трка	võidusõit
трка	rass
крал	king
крал	kuningas
крал	kunn
таму	seal
веднаш	koheselt
веднаш	otsekohe
слика	pilt
слика	pildi
слика	pilt
слика	pildi
слика	maal
слика	maali
слика	värvimine
статија	artikkel
ссср	nsvl
статии	artiklid
евреите	juudid
француски	prantsuse
партија	party
партија	pidu
партија	erakond
партија	peole
природни	looduslik
природни	loomulik
природни	naturaalne
природни	looduslikud
кралство	kuningriik
државите	riigid
река	river
река	jõgi
политички	poliitiliselt
политички	poliitilised
политички	poliitiline
области	piirkonnad
области	alad
области	valdkonnad
области	piirkonnad
право	sirge
право	õigus
право	paremale
право	õige
серија	seeria
енергија	energiat
енергија	energia
енергија	energeetika
значајни	märkimisväärne
значајни	tähendusrikas
островот	saart
островот	saar
образование	haridus
дена	päevad
дена	päeva
дена	päevi
добро	tubli
добро	hea
извршување	täidesaatva
извршување	hukka
извршување	hukata
извршување	käivita
извршување	hukkamine
извршување	täitmine
извршување	teostus
негово	tema
нејзините	oma
наведени	loetletud
тука	siin
смртта	surma
смртта	surm
