den	را
med	با
som	شبیه
som	لایک
som	مثل
som	like
som	مانند
som	کدام
runt	اطراف
runt	حوالی
månaden	ماهانه
månaden	ماهنامه
månaden	ماهیانه
månaden	ماه
nederbörd	بارش
nederbörd	بارندگی
ligger	دروغ
ingår	شامل
ingår	شامل
att	که
ett	یکی
ett	یگانه
ett	یک
familjen	فامیل
familjen	خانوادگی
familjen	خانواده
för	برای
inga	هیچکدام
inga	اینگا
delen	جزء
delen	قسمت
delen	پارت
underarter	زیرگونه
life	زندگى
life	زندگی
landet	کانتری
landet	کشوری
landet	کشور
landet	مملکت
landet	ییلاق
meter	متر
meter	متر
meter	متری
meter	متر
meter	کنتور
meter	متر
meter	یارد
huvudstaden	کپیتول
huvudstaden	کاپیتول
huvudstaden	پایتخت
huvudstaden	سرمایه
havet	دریا
havet	دریای
havet	بحر
havet	اقیانوس
havet	اقیانوسی
kallaste	سردترین
invånare	ساکنین
invånare	یاران
invånare	شهروندان
januari	ژانویه
millimeter	میلیمتر
millimeter	میلیمتر
genomsnitt	متوسط
genomsnitt	میانگین
genomsnittlig	متوسط
genomsnittlig	میانگین
var	ور
var	بود
var	بودند
var	کجا
var	کجای
juli	ژوئیه
juli	جولای
han	هان
har	has
har	دارد
per	پر
vattendrag	رودهای
vattendrag	ریورز
vattendrag	رودها
från	از
kanada	کانادا
provinsen	ولایت
provinsen	استان
närheten	تقرب
men	ولی
men	اما
högsta	حداکثر
högsta	بیشینه
högsta	بالاترین
augusti	آگوست
augusti	آگست
augusti	اوت
kan	میتوانست
länkar	پیوندها
länkar	پیوندهای
externa	خارجی
läge	محل
läge	مکان
läge	حالت
även	حتی
även	حتى
även	وحتی
även	همچنین
februari	فوریه
under	تحت
under	زیر
sjö	دریا
sjö	دریای
sjö	بحر
sig	زیگ
två	دوتا
två	دو
terrängen	ناهمواری
terrängen	عوارض
long	طولانی
long	لانگ
long	دراز
juni	ژوئن
juni	june
lat	لات
lat	تنبل
lat	کسالت
lat	تنبلی
december	دسامبر
växer	رشد
växer	رشد
många	بسیار
nära	close
nära	بستن
nära	نزدیک
nära	نزدیکی
nära	نزدیک
väster	وست
väster	باختر
väster	غرب
väster	غربی
provins	ولایت
provins	استان
öster	شرق
öster	شرقی
först	اول
först	ابتدا
först	نخستین
berg	کوهستانی
berg	کوهی
berg	کوه
berg	کوهستان
berg	برگ
berg	کوهستان
berg	کوهها
indonesien	اندونزی
mars	مارس
mars	پیشروی
mars	راهپیمایی
mars	مریخ
mars	مارس
mindre	کوچکتر
mindre	کوچک
mindre	خردسال
mindre	کوچکی
mindre	کمتر
mindre	less
norr	شمالی
norr	نورث
norr	شمال
oktober	اکتبر
oktober	october
man	انسان
man	مَرد
man	مرد
september	september
september	سپتامبر
större	عمده
större	ماژور
större	سرگرد
större	بزرگتر
större	بزرگتر
större	بزرگتری
centrala	مرکزی
centrala	سنترال
centrala	مرکز
andra	دوم
andra	ثانیه
andra	دومی
andra	دیگر
andra	غیره
andra	دیگران
andra	دیگر
hade	had
där	آنجا
där	کجا
där	کجای
county	شهرستان
county	کانتی
nog	کافیه
nog	ناگ
huvudsakligen	اساسا
huvudsakligen	عمدتاً
huvudsakligen	عمدتاً
ovanligt	غیرعادی
namngivna	نامدار
söder	ساوت
söder	جنوب
söder	جنوبی
mycket	خیلی
mycket	بسیار
mycket	فراوان
mycket	زیاد
mycket	بسیار
jpg	jpg
regionen	منطقه
regionen	ناحیه
regionen	استان
regionen	منطقۀ
ottawa	اتاوا
creek	کریک
creek	نهر
ganska	نسبتاً
närmaste	نزدیکترین
närmaste	نزدیکترین
november	نوامبر
maj	می
maj	مه
maj	تا
platt	پلت
platt	مسطح
platt	فلت
född	متولد
född	زاده
finland	فنلاند
samhälle	اجتماع
samhälle	جامعه
samhälle	انجمن
samhälle	اجتماع
samhälle	ملتی
samhälle	جامعه
samhälle	انجمن
samhälle	امت
hon	اون
hon	او
består	متشکل
består	سروده
platser	صندلی
platser	مکانهای
platser	مکانها
platser	محلهای
platser	مکانهایی
platser	مکانها
platser	مساجد
platser	یونسکو
första	اول
första	ابتدا
första	نخستین
området	منطقه
området	مساحت
området	ناحیه
april	اپریل
april	آوریل
bar	bar
bar	میله
bar	بار
hans	هانس
hans	او
södra	جنوب
södra	جنوبی
södra	ساوت
