ennuste	پیشگوئی
puuvilla	روئی
puuvilla	پنبہ
puuvilla	روئی
ikivanha	قدیم
satoa	حاصل.
satoa	اجر
satoa	بال
satoa	پارچہ.
satoa	کپڑا
satoa	کاٹنا
satoa	بال
satoa	پارچہ.
satoa	کپڑا
satoa	کاٹنا
satoa	فصل
elektroni	برقیہ
nappula	پیدل
nappula	پیادہ.
toimipaikka	تشکیل
toimipaikka	تاسیس
toimipaikka	مہربانی
toimipaikka	اشارہ.
toimipaikka	منصب.
toimipaikka	ایما
toimipaikka	توجہ.
toimipaikka	عہدہ
toimipaikka	مہربانی
toimipaikka	اشارہ.
toimipaikka	دفتر
toimipaikka	منصب.
toimipaikka	ایما
toimipaikka	توجہ.
toimipaikka	عہدہ
lainata	(بعدہ
solidaarisuus	اتحاد
harjoituksiin	اعادہ.
harjoituksiin	مشق
tyhmä	لدھڑ.
tyhmä	احمقانہ
tyhmä	احمق
tyhmä	ٹھس
tyhmä	لدھڑ.
tyhmä	احمقانہ
tyhmä	ناسمجھ
tyhmä	اصم
tyhmä	عمل)
tyhmä	جاہل.
tyhmä	گپت
dynaaminen	زوردار.
dynaaminen	فعال
piin	متقی
piin	نیک
afganistan	افغانی
altis	موافق
altis	حسّاس
altis	اُریبی.
altis	ڈھالو
risteys	چوراہا.
risteys	تقاطع
risteys	چوراہا.
risteys	جوڑنے
risteys	سنگم.
keskiviikkona	بدھ
mummo	جدّہ
mummo	جدّہ
syötäväksi	خوراک.
syötäväksi	خوردنی
vaarallisten	خطرناک
kesää	in
rauhallista	پُرسکون.
babe	معصوم
kauppiaan	تاجر
rotuun	نسلی
evankelista	مرقص
altistuminen	انکشاف
oire	علامتی.
oire	سراغ.
naama	مُکھ
naama	بشرہ
naama	چہرہ
naama	حصّہ
naama	شناخت
naama	مُکھڑا.
naama	مُکھ
naama	بشرہ
naama	چہرہ
naama	حصّہ
naama	رُخ
naama	شناخت
naama	رُو
naama	شکل
naama	مُکھڑا.
pimeää	ناخواندہ
pimeää	تاریکی.
pimeää	جہالت.
pimeää	غصیل
pimeää	منحوس
pimeää	خفیہ
pimeää	افسردہ
pimeää	رنجیدہ
pimeää	نامعلوم
