yang	yang
dan	sowie
dan	und
dan	dan
dengan	mit
the	die
the	der
the	dem
the	den
the	das
untuk	für
juga	ausserdem
juga	ebenso
juga	außerdem
juga	ebenfalls
juga	auch
terletak	gelegen
terletak	liegt
terletak	lügen
indonesia	indonesia
indonesia	indonesien
dari	dari
dari	vom
dari	von
dari	ab
dari	aus
daerah	landkreis
daerah	district
daerah	bezirk
daerah	stadtteil
daerah	distrikt
tahun	jahren
tahun	jahre
tahun	jahr
tahun	baujahr
tahun	jahres
tahun	jahre
adalah	sind
telah	verfügt
telah	hat
wilayah	bundesland
wilayah	provinz
wilayah	region
wilayah	gebiet
wilayah	territorien
wilayah	gebieten
wilayah	gebiete
wilayah	territorium
wilayah	gebiet
wilayah	territorium
lihat	sehen
lihat	schau
lihat	see
lihat	siehe
lihat	ansehen
kawasan	gebiet
kawasan	bereich
kawasan	fläche
kawasan	region
kawasan	gebiet
kawasan	regionen
luar	außerhalb
luar	aussen
luar	außen
luar	draussen
luar	draußen
sekolah	schule
sekolah	schulen
sekolah	schulwesen
sekolah	schule
sekolah	schuljahr
sekolah	schulen
tidak	not
tidak	nicht
tidak	kein
komun	gemeinde
komun	kommune
komun	gemeinden
komun	kommunen
komun	communes
bahasa	programmiersprachen
bahasa	fremdsprachen
bahasa	sprachen
bahasa	sprache
bahasa	amtssprache
bahasa	sprachen
bahasa	sprache
orang	person
orang	leute
orang	menschen
orang	personen
pautan	verbindung
pautan	verlinken
pautan	link
pautan	verknüpfung
pautan	verlinkung
pautan	verbindungen
pautan	verweise
pautan	verknüpfungen
pautan	links
malaysia	malaysia
daripada	vom
daripada	von
daripada	ab
daripada	aus
kampung	kampung
kampung	dorf
kampung	feriendorf
kampung	ortschaft
jabatan	hauptabteilung
jabatan	abteilung
jabatan	dienststelle
jabatan	fachbereich
satu	satu
satu	einen
satu	eins
satu	einer
satu	eine
satu	ein
negara	land
negara	staat
negara	bundesland
negara	zustand
negara	mitgliedstaat
negara	bundesstaat
negara	negara
negara	länder
negara	ländern
negara	staaten
mereka	ihnen
mereka	sie
kebangsaan	staatsbürgerschaft
kebangsaan	nationalität
kebangsaan	staatsangehörigkeit
kebangsaan	nationaler
kebangsaan	nationale
kebangsaan	nationalen
kebangsaan	national
bandar	stadt
bandar	ortschaft
bandar	stadt
bandar	städte
bandar	stadt
bandar	bandar
imperial	kaiserlichen
imperial	kaiserreich
imperial	kaiserlich
imperial	kaiserliche
imperial	imperial
lelaki	mensch
lelaki	mann
lelaki	man
negeri	staat
negeri	bundesland
negeri	zustand
negeri	mitgliedstaat
negeri	bundesstaat
menjadi	wesen
barat	west
barat	westen
barat	westliche
barat	western
barat	westlich
barat	westen
barat	westlichen
barat	westliche
lain	sonstiges
lain	andere
lain	anderen
lain	sonstige
lain	anderes
lain	sonstiges
lain	andere
lain	anderen
lain	sonstige
lebih	weiteres
lebih	mehr
lebih	weitere
etnik	ethnisch
etnik	ethnischen
etnik	ethnische
etnik	ethnischer
etnik	ethnisch
etnik	ethnizität
etnik	ethnische
mempunyai	verfügt
mempunyai	hat
mempunyai	haben
mempunyai	habe
perancis	französisch
perancis	französische
perancis	französischen
perancis	franzosen
perancis	franzose
perancis	frankreich
akan	will
akan	werden
akan	wird
akan	wille
akan	werde
nama	namen
nama	bezeichnung
nama	vorname
nama	name
nama	namen
nama	bezeichnungen
perbandaran	township
perbandaran	stadtverwaltung
perbandaran	gemeinde
perbandaran	kommune
perbandaran	stadtverwaltung
perbandaran	kommunalen
perbandaran	kommunal
boleh	kann
boleh	können
boleh	can
boleh	kannst
filem	filmen
filem	filme
filem	folien
filem	kino
filem	spielfilm
filem	kinofilm
filem	film
filem	spielfilm
filem	kinofilm
filem	film
filem	kino
filem	filme
filem	kinos
timur	östlich
timur	ostseite
timur	ost
timur	osten
timur	timur
timur	osten
timur	ost
timur	osteuropa
timur	östlichen
timur	östliche
digunakan	gebraucht
digunakan	benutzt
digunakan	gebrauchte
digunakan	verwendete
digunakan	verwendet
dua	dua
dua	zweit
dua	beiden
dua	two
dua	zwei
pertama	erste
pertama	zuerst
pertama	erster
pertama	first
pertama	ersten
perempuan	weib
perempuan	frau
perempuan	weibchen
perempuan	weiblich
perempuan	frauen
perempuan	hündinnen
perempuan	frauen
svg	svg
svg	wmf
india	indischen
india	indianer
india	indischer
india	indische
india	indien
senarai	liste
senarai	verzeichnis
senarai	aufstellung
dia	dia
presiden	präsidenten
presiden	vorsitzender
presiden	präsident
presiden	präsidentin
terbang	fly
terbang	fliege
terbang	fliegen
terbang	flieg
terbang	fliegende
terbang	fliegen
terbang	geflogen
terbang	flog
terbang	flogen
dunia	welt
dunia	weltweit
kerana	weil
kerana	wegen
kerana	denn
bahawa	dass
bahawa	das
laut	meer
selepas	danach
selepas	nach
selepas	after
selepas	nachher
selepas	nachdem
selatan	süden
selatan	süd
selatan	southern
selatan	südliches
selatan	südlichen
selatan	südliche
selatan	süd
selatan	südlich
selatan	süden
stadium	stadien
stadium	stadions
stadium	stadion
stadium	stadium
stadium	stadions
tempat	ort
tempat	stelle
tempat	platz
tempat	plätze
tempat	orte
tempat	ortschaften
besar	großen
besar	große
besar	groß
besar	großer
besar	grosse
besar	big
besar	großen
besar	große
besar	groß
besar	großes
besar	besar
tetapi	doch
tetapi	aber
tetapi	allerdings
tetapi	but
tetapi	jedoch
antara	zwischen
antara	dazwischen
pelajar	schüler
pelajar	schülerinnen
pelajar	studenten
pelajar	kursteilnehmer
pelajar	studierende
pelajar	schüler
pelajar	studentin
pelajar	studenten
pelajar	kursteilnehmer
pelajar	studierende
utara	nordsee
utara	norden
utara	nordosten
utara	nord
utara	northern
utara	nordeuropa
utara	nördliche
utara	nördlichen
utara	nordirland
utara	norden
syarikat	corporation
syarikat	körperschaft
syarikat	konzern
syarikat	firma
syarikat	gesellschaft
syarikat	unternehmen
syarikat	unternehmen
syarikat	firmen
syarikat	gesellschaften
raya	raya
beberapa	mehrere
jumlah	beträge
jumlah	betrag
jumlah	höhe
jumlah	gesamtbetrag
jumlah	gesamtzahl
jumlah	gesamt
jumlah	insgesamt
jumlah	gesamtsumme
republik	republikaner
republik	republikanischen
republik	republikanische
republik	republik
kumpulan	gruppe
kumpulan	konzern
kumpulan	gruppierung
kumpulan	gruppen
kumpulan	unternehmensgruppe
kumpulan	arbeitsgruppen
kumpulan	gruppen
kumpulan	fraktionen
tentera	militärische
tentera	militär
tentera	militärisch
tentera	militärischen
tentera	soldaten
tentera	heer
tentera	armee
tentera	army
amerika	amerikanische
amerika	amerikaner
amerika	amerikanischen
amerika	amerikanisches
amerika	amerikanisch
amerika	amerika
amerika	mittelamerika
amerika	amerika
amerika	nordamerika
turki	türkei
turki	türken
turki	türkisch
turki	türkischen
turki	türkische
turki	türkisches
