دهقان	peasant
هریسون	ஹாரிசன்
انشعاب	கிளை
وایمار	weimar
کسر	பின்னம்
عبادت	வழிபாடு
عبادت	வணங்குகிறோம்
عبادت	வணங்கும்
متراکم	அடர்ந்த
جنایات	குற்றங்களில்
جنایات	குற்றங்களை
جنایات	குற்றங்கள்
آئودی	ஆடி
ترمینال	முனையம்
نامحدود	எல்லையற்ற
نامحدود	முடிவில்லாத
نامحدود	வரம்
نامحدود	அளவில்லா
نامحدود	அளவில்லாத
نامحدود	எண்ணிலடங்கா
ذرت	சோளம்
بدانید	தெரியுமா
بدانید	தெரியும்
وبر	வெபர்
سرودن	எழுது
تعاونی	கூட்டுறவு
تکنیکی	தொழில்நுட்ப
زی	ஜீ
خائن	துரோகி
رویس	ராய்ஸ்
گریگوری	கிரிகோரி
کنراد	கொன்ராட்
بالتیک	பால்டிக்
آیوی	ஐவி
راجرز	ரோஜர்ஸ்
میرسد	அடையும்
ادوین	எட்வின்
رنگهای	நிறங்கள்
رنگهای	வண்ணங்கள்
اطفال	குழந்தைகளை
اطفال	பிள்ளைகள்
اطفال	குழந்தைகள்
اطفال	குழந்தைகளிடம்
یونس	யூனுஸ்
یونس	யோனா
یونس	யூனிஸ்
فرضی	hypothetical
راو	ரா
راو	வெறுமை
آهسته	மெதுவானது
آهسته	மெதுவான
آهسته	மெதுவாக
آهسته	மெல்ல
آهسته	மெதுவாக
نیکول	நிக்கோல்
فری	படகில்
تقطیر	வடித்திறக்கல்
آلتو	ஆல்டோ
نیکلای	நிகோலாய்
رؤیا	கனவு
رؤیا	கனவில்
اهدای	கொடை
پرل	முத்து
پرل	finger
رفیق	நண்பா
رفیق	நண்பா
لیو	லிவ்
بدانند	தெரியுமா
بدانند	தெரியும்
عظمت	ஆடம்பரம்
عظمت	மேன்மையை
میکرو	மைக்ரோ
تاب	ஊஞ்சலாடுகிறது
تاب	ஊஞ்சல்
تاب	மூச்சில்
ناتینگهام	nottingham
بیاورید	கொண்டுவா
بیاورید	கொண்டு
پنهانی	ரகசியமாக
پنهانی	இரகசியமாக
صمیمی	நெருக்கமான
قربان	ஐயா
قربان	சார்
قربان	அய்யா
قربان	சர்
سوءاستفاده	முறைகேடு
سوءاستفاده	வன்கொடுமை
گنگ	ஊமை
گنگ	கும்பல்
یخی	ஃப்ரோஸ்ட்
یخی	பனி
یخی	ஐஸ்
یخی	பனிக்கட்டி
قحطی	பஞ்சம்
قحطی	பட்டினி
ماسک	முகமூடி
ماسک	முகமூடிகள்
میگیرد	எடுக்கும்
میگیرد	எடுக்கிறது
مکانیزم	mechanism
شهدا	தியாகிகளின்
قرض	கடன்
قرض	கடன்
قرض	கடனை
مهمات	ஆயுதம்
رحمان	ரஹ்மான்
رحمان	ரகுமான்
وصیت	ஏற்பாட்டில்
محفظه	capsule
مشاوران	ஆலோசகர்கள்
احتراق	combustion
احتراق	பற்றவைப்பு
احتراق	எரி
درواقع	உண்மையில்
کلک	தந்திரம்
کلک	தந்தி
گرده	மகரந்தம்
متخصصین	நிபுணர்கள்
متخصصین	tech
مهاجرین	அகதிகள்
پروسه	செயல்முறை
گوهر	சாரம்
تراشه	சிப்
تحقیر	இழிவு
تحقیر	அவமதிப்பு
عنکبوتی	சிலந்தி
پوینت	புள்ளி
نورنبرگ	நியூரம்பெர்க்
اتمسفر	வளிமண்டலம்
قفس	கூண்டு
شهوانی	சிற்றின்ப
جاسوس	உளவு
لورا	லாரா
آشکارا	வெளிப்படையாக
آشکارا	தெளிவாக
آشکارا	தெளிவாகக்
ساسکاچوان	சஸ்காச்சுவான்
لکه	கறை
لکه	பிளாப்
لکه	தெளிவின்மை
متریک	மெட்ரிக்
جاش	ஜோஷ்
بحر	கடல்
انسانها	மனிதர்களும்
انسانها	மனிதர்கள்
حسابرسی	கணக்கியல்
قناری	கேனரி
گلوکز	குளுக்கோஸ்
یگان	அலகு
قرارگاه	தீர்ப்பு
پشتوانه	மானியம்
بوریس	போரிஸ்
گروگان	பணயக்கைதிகள்
تدارک	தயாரிப்பு
تدارک	முன்னேற்பாடு
دینار	தினார்
انور	அன்வர்
ویک	விக்
استارک	ஸ்டார்க்
اتلاف	கழிவு
بای	வளைகுடா
بای	பே
مونترال	montreal
کعبه	காபா
ابدی	நித்திய
پتر	பீட்டர்
مهری	முத்திரை
پروتستان	புராட்டஸ்தாந்து
سرعتی	வேகமான
تجلیل	கொண்டாட்டம்
سپر	கவசம்
اسکیت	ஸ்கேட்டிங்
آراسته	கவர்ச்சிகரமான
آراسته	அலங்கரிக்கப்பட்ட
بورلی	பெவர்லி
سلاطین	அரசர்கள்
سلاطین	கிங்ஸ்
سایمون	சைமன்
والاس	வாலஸ்
دیکتاتوری	சர்வாதிகாரம்
سویی	sui
لوسی	லூசி
خشکسالی	பஞ்சம்
خشکسالی	வறட்சி
اولاد	சந்ததி
ریکاردو	ரிக்கார்டோ
کلوپ	மன்றம்
کلوپ	கிளப்
پوشیدن	அணிந்து
پوشیدن	அணிய
پوشیدن	உடுத்தும்
پوشیدن	உடைகள்
کلاب	மன்றம்
کلاب	கிளப்
تایی	டே
لایپزیگ	லீப்சிக்
نفرت	வெறுப்பை
نفرت	வெறுப்பு
نفرت	வெறுப்பு
نفرت	வெறுக்கிறேன்
برخاست	புறப்பட
هالی	ஹோலி
چهاردهمین	fourteenth
ادواردز	எட்வர்ட்ஸ்
نواری	streaked
نواری	ரிப்பன்
هافمن	hoffmann
آشتی	எதிரணியை
تروریست	தீவிரவாத
تروریست	தீவிரவாதி
