the	เดอะ
and	และ
and	แล้ว
for	สำหรับ
for	เพื่อ
that	นั้น
that	ที่
that	ว่า
that	นั่น
with	ด้วย
with	กับ
from	จาก
this	นี้
this	นี่
this	ดิส
utc	utc
not	ไม่
not	ไม่ใช่
are	กำลัง
are	คือ
talk	คุย
talk	พูด
which	ซึ่ง
also	ยัง
has	ทรง
but	แต่
have	มี
one	เดียว
one	หนึ่ง
new	นิว
new	ใหม่
first	ก่อน
first	แรก
page	เพจ
page	หน้า
you	เจ้า
you	คุณ
you	เธอ
article	บทความ
article	ข่าว
who	ผู้
who	ใคร
all	ทั้งหมด
all	ทุก
there	มี
made	ทำให้
its	มัน
its	its
people	ประชาชน
people	บุคคล
people	ผู้
people	ผู้คน
people	คน
may	พฤษภาคม
after	after
after	หลัง
other	อื่นๆ
should	ควร
two	สอง
two	two
score	สกอร์
score	แต้ม
score	คะแนน
can	สามารถ
can	สา
would	จะ
more	อื่นๆ
more	มากกว่า
she	หล่อน
she	เธอ
she	นาง
about	เรื่อง
about	ประมาณ
when	เมื่อไร
when	เมื่อ
when	ตอน
time	เวลา
team	ทีม
team	team
american	อเมริกัน
discussion	อภิปราย
links	ลิงก์
only	เท่านั้น
only	เฉพาะ
some	บาง
some	บ้าง
see	เห็น
see	ดู
united	สามัคคี
united	ยูไนเต็ด
united	united
years	ปี
school	โรงเรียน
world	เวิลด์
world	world
world	โลก
university	มหาวิทยาลัย
during	ระหว่าง
out	ออก
state	สภาพ
state	รัฐ
national	national
national	ชาติ
year	ปี
most	ที่สุด
city	เมือง
city	ซิตี้
city	city
used	ใช้
then	งั้น
than	กว่า
county	มณฑล
county	เปรม
external	ภายนอก
where	ที่ไหน
will	พิน
will	จะ
will	วิล
what	อะไร
delete	ลบ
any	ใดๆ
january	มกราคม
march	มีนาคม
march	มาร์ช
march	march
july	กรกฎาคม
being	การ
film	ภาพยนตร์
film	ฟิล์ม
him	เขา
many	มากมาย
many	หลาย
south	south
south	ใต้
september	กันยา
september	กันยายน
like	ชอบ
like	เหมือน
like	แบบ
like	ถูกใจ
like	ไลค์
like	อย่าง
between	ระหว่าง
october	ตุลาคม
three	three
three	สาม
june	จูน
june	มิถุนายน
well	เอ้อ
well	ก็
well	เออ
well	ดี
well	ก้อ
well	อืม
use	ใช้
war	สงคราม
under	ใต้
april	april
april	เมษายน
born	เกิด
december	ธันวาคม
december	ธันวา
link	ลิงก์
link	ลิงค์
while	ขณะ
later	ทีหลัง
part	ภาค
part	ส่วน
part	part
november	พฤศจิกายน
list	รายการ
following	ติดตาม
february	กุมภาพันธ์
second	วินาที
name	ชื่อ
group	กลุ่ม
history	ประวัติศาสตร์
history	ประวัติการ
history	ประวัติ
series	ซีรี่ส์
series	อนุกรม
just	แค่
north	อุดร
north	เหนือ
work	ทำงาน
work	งาน
before	ก่อน
since	ตั้งแต่
season	ฤดูกาล
both	ทั้ง
high	high
high	สูง
high	ไฮ
through	ผ่าน
district	เขต
district	อำเภอ
comments	หมายเหตุ
comments	คอมเมนท์
because	เพราะ
football	ฟุตบอล
music	มิวสิค
music	เพลง
music	ดนตรี
century	ศตวรรษ
league	สันนิบาต
league	ลีก
debate	โต้วาที
title	ชื่อ
articles	บทความ
john	จอร์น
john	john
john	จอห์น
same	เดียวกัน
could	สามารถ
english	อังกฤษ
album	อัลบั้ม
number	จำนวน
number	หมายเลข
against	ต่อ
family	ตระกูล
family	ครอบครัว
family	family
area	บริเวณ
area	พื้นที่
york	ยอร์ก
york	ยอร์ค
life	ชีวิต
life	life
british	บริติช
british	อังกฤษ
international	international
international	นานาชาติ
international	สากล
game	เกม
game	เกมส์
above	เหนือ
club	คลับ
club	สโมสร
club	club
club	ชมรม
until	จนถึง
until	จน
until	จนกว่า
early	ต้น
best	best
west	เวสต์
house	บ้าน
house	เฮ้าส์
company	บริษัท
company	company
company	องค์กร
general	ทั่วไป
general	แม่ทัพ
left	ซ้าย
left	เหลือ
very	มาก
don	ดอน
don	don
day	เดย์
day	วัน
several	หลาย
party	พรรค
party	ปาร์ตี้
college	วิทยาลัย
college	มหาวิทยาลัย
result	ผล
result	ผลลัพธ์
keep	เก็บ
four	สี่
even	แม้น
even	แม้
even	แม้แต่
even	แม้ว่า
class	ห้องเรียน
class	คลาส
class	เรียน
government	ราชการ
government	รัฐบาล
how	วิธี
did	ทำ
each	แต่ละ
found	พบ
found	เจอ
center	กึ่งกลาง
center	กลาง
center	ศูนย์
center	ศูนย์กลาง
per	ต่อ
style	สไตล์
com	com
long	ยาว
long	นาน
country	ประเทศ
back	กลับ
way	วิธี
way	ทาง
way	วิถี
way	หนทาง
www	www
modify	แก้ไข
end	จบ
end	end
end	ยุติ
make	ทำให้
public	สาธารณชน
public	public
public	สาธารณะ
played	เล่น
won	วอน
won	ชนะ
added	เพิ่ม
support	สนับสนุน
support	รองรับ
games	เกม
games	เกมส์
former	อดีต
films	ภาพยนตร์
church	ศาสนจักร
church	โบสถ์
line	เส้น
line	บรรทัด
line	line
major	เมเจอร์
members	สมาชิก
good	เก่ง
