در	ajtó
رده	óra
رده	osztály
از	től
از	tól
از	from
که	ki
که	aki
که	ez
این	ezt
این	ez
را	az
با	with
میلادی	évtized
میلادی	évtizedben
میلادی	évtizede
یک	egy
سال	évek
سال	év
سال	sal
سال	évjárat
سال	éve
سال	évi
سال	év
آن	anne
ایران	iráni
ایران	irán
برای	for
اهل	ahl
شهرستان	megyei
شهرستان	megye
آمریکا	amerika
آمریکا	america
فهرست	katalógus
فهرست	jegyzék
فهرست	lista
فهرست	katalógus
بود	volt
او	őt
او	neki
تا	may
تا	május
تا	májusi
تا	májusban
وابسته	melléknév
وابسته	eltartott
وابسته	függő
وابسته	kapcsolódó
وابسته	társult
فوتبال	foci
فوتبال	futball
فوتبال	foci
فوتبال	football
فوتبال	futball
ساعت	órákban
ساعت	óra
ساعت	órák
ساعت	óra
ساعت	óra
پایه	alap
پایه	alapítvány
پایه	alap
پایه	bázis
پایه	alapítványok
پایه	alap
پایه	alapvető
نام	neve
نام	név
استان	tartomány
استان	tartományban
استان	régió
استان	régiók
شهر	városban
شهر	town
شهر	város
شهر	city
شهر	városi
شهر	város
ملی	nemzeti
ملی	országos
ملی	national
کشور	ország
کشور	országban
تاریخ	dátum
تاریخ	időpont
تاریخ	történelme
تاریخ	előzmények
تاریخ	történelem
فیلم	filmet
فیلم	mozi
فیلم	film
فیلم	fólia
فیلم	film
فیلم	mozi
فیلم	filmek
فیلم	filmeket
بخش	részleg
بخش	megye
بخش	ágazat
بخش	szektor
بخش	részleg
بخش	szakasz
بخش	szekció
بخش	körzet
بخش	járás
بخش	kerület
جمعیت	tömegek
جمعیت	tömeg
جمعیت	populáció
جمعیت	népesség
جمعیت	lakosság
دو	kettő
اثر	hatása
اثر	hatás
اثر	effektus
پس	akkor
پس	aztán
یکی	valaki
یکی	valakit
یکی	egy
بازیکنان	játékosok
بازیکنان	szereplők
آثار	leleteket
آثار	leletek
آثار	hatások
آثار	hatásai
آثار	hatás
وی	wei
وی	wii
روستاهای	falvak
دیگر	több
دیگر	more
دیگر	további
دیگر	tobb
دیگر	egyéb
دیگر	más
دیگر	másoknak
دیگر	egyéb
دیگر	mások
دیگر	egyebek
می	may
می	május
می	májusi
می	májusban
می	mei
عنوان	felirat
پیوند	hivatkozás
پیوند	kapcsolat
پیوند	link
پیوند	linket
پیوند	hivatkozást
پیوند	kapcsolt
پیوند	kapcsolódott
پیوند	kapcsolódó
پیوند	összekapcsolt
پیوند	kötés
پیوند	kötvény
پیوند	kötelék
پیوند	bond
پیش	előtte
پیش	előtt
پیش	mielőtt
بحث	veszekedés
بحث	vitatkozni
بحث	vita
بحث	megbeszélés
بحث	beszélgetés
بیرون	ki
افراد	emberek
دوره	persze
دوره	epoch
دوره	korszak
دوره	időszak
دوره	időtartam
دوره	periódus
دهه	évtizedek
دهه	évtized
دهه	évtizedben
دهه	évtizede
متر	méter
متر	méter
متر	méter
متر	méter
