den	the
med	sa
som	kao
som	like
som	kom
som	koja
som	koju
runt	oko
runt	rundu
månaden	mjesečna
månaden	mjesečni
månaden	mjesec
nederbörd	padavina
nederbörd	padavina
ligger	leži
ligger	lazi
ligger	laži
ligger	lociran
ingår	uključivala
ingår	uključena
ingår	obuhvaća
ingår	obuhvata
ingår	uključuje
att	toga
ett	jedan
ett	jedna
över	preko
familjen	porodica
familjen	porodično
för	za
inga	nijedan
inga	nijedna
inga	inga
delen	dio
släktet	genus
underarter	podvrsta
life	život
listade	naveden
landet	zemlja
meter	metar
meter	metara
meter	metara
meter	metra
huvudstaden	kapital
havet	moru
havet	more
havet	okean
invånare	stanovnici
invånare	stanovništvo
invånare	stanovnika
invånare	stanovništvo
invånare	građani
januari	januar
millimeter	milimetar
genomsnitt	prosječno
genomsnitt	prosječne
genomsnitt	prosječnom
genomsnitt	prosjek
genomsnittlig	prosječno
genomsnittlig	prosječne
genomsnittlig	prosječnom
genomsnittlig	prosjek
var	var
var	bio
var	bili
var	gdje
var	gde
juli	jula
juli	juli
juli	juli
han	han
har	ima
har	imaju
per	po
vattendrag	rijekama
från	od
kanada	kanada
provinsen	pokrajina
närheten	blizina
men	ali
högsta	vrhovni
högsta	vrhovno
högsta	maksimalna
högsta	maksimalni
högsta	maksimalne
högsta	maksimum
högsta	maksimalno
högsta	najviša
augusti	august
kan	može
kan	može
länkar	veza
externa	vanjska
externa	vanjski
läge	lokacija
läge	modu
läge	mode
läge	mod
även	čak
även	također
även	takođe
februari	februar
under	tokom
under	pod
lake	jezero
sjö	jezero
sjö	moru
sjö	more
inte	nisu
sig	sig
kommun	općina
två	dva
lac	lac
terrängen	terenu
long	dugi
long	dug
long	dugu
long	long
long	dugo
juni	juni
juni	juni
lat	lat
december	decembar
växer	rastući
växer	rastuća
växer	raste
växer	rastuće
växer	rastu
växer	rasti
växer	raste
många	mnoge
många	mnogi
efter	nakon
nära	zatvori
nära	blizu
nära	bliskoj
nära	bliski
nära	blizak
nära	bliska
nära	blizu
väster	zapadu
väster	zapad
provins	pokrajina
öster	istok
först	prvo
först	prvi
berg	planina
berg	berg
berg	planine
berg	planina
indonesien	indonezija
usa	usa
mars	mart
mars	mars
mindre	manji
mindre	manja
mindre	manja
mindre	manje
norr	sjever
oktober	oktobar
man	muškarac
september	septembar
större	major
större	veće
större	veću
större	veća
större	veće
större	veći
större	veći
större	veće
centrala	central
centrala	centralni
centrala	centralna
nordväst	sjeverozapad
blev	postala
blev	postao
blev	postali
blev	postalo
andra	drugi
andra	ostala
andra	ostale
andra	drugim
andra	drugi
andra	ostali
andra	drugi
hade	imao
där	tu
där	tamo
där	gdje
där	gde
nordost	sjeveroistoku
county	županija
county	okrug
nog	dovoljno
nog	dovoljan
nog	dosta
nog	nog
huvudsakligen	uglavnom
huvudsakligen	primarno
huvudsakligen	prevashodno
ovanligt	neuobičajena
ovanligt	neuobičajene
ovanligt	neuobičajen
ovanligt	neobično
ovanligt	neuobičajena
namngivna	nazvana
namngivna	nazvane
namngivna	nazvan
namngivna	proglašen
söder	jug
mycket	veoma
mycket	vrlo
mycket	mnogo
jpg	jpg
regionen	regija
ottawa	ottawa
creek	creek
ganska	prilično
närmaste	najbliži
närmaste	najbliži
närmaste	najbliža
november	novembar
maj	maj
maj	maj
cest	cest
platt	platt
platt	ravan
platt	ravne
född	born
född	rođen
född	rođena
född	rođeni
finland	finska
samhälle	društvo
samhälle	zajednica
hon	ona
består	sastavljene
platser	mjesta
platser	lokacija
platser	lokacijama
platser	lokacije
platser	mesta
platser	mjesta
platser	sajtova
platser	sajtovi
första	prvo
första	prvi
fick	imam
fick	got
fick	dobio
fick	dobila
fick	primio
fick	dobio
fick	dobila
sydväst	jugozapadnom
sydväst	jugozapad
sydväst	jugozapadne
sydväst	jugozapadna
australien	australija
sydöstra	jugoistočna
sydöstra	jugoistočna
april	april
bar	bar
sydost	jugoistočna
hans	hans
hans	njegovo
hans	njegov
hans	njegova
södra	južni
södra	jug
södra	södra
toppen	velikih
toppen	top
sverige	švedska
sedan	potom
sedan	onda
sedan	tada
sedan	zatim
östra	istok
östra	istočnim
östra	istočni
östra	istočnoj
östra	istočna
östra	istočne
cet	cet
genom	kroz
sitt	sede
sitt	sjedi
kilometer	kilometar
kilometer	kilometara
norra	sjever
norra	sjeverna
norra	sjeverni
också	također
också	takođe
också	također
också	takođe
också	too
talet	govor
detta	ove
mot	ka
mot	protiv
mot	mot
västra	zapadu
västra	zapad
västra	zapadu
västra	zapadna
västra	zapadnim
västra	zapadne
västra	zapadni
del	dio
del	del
riktning	smjer
riktning	pravac
namn	ime
namn	imena
bland	među
vilket	kom
vilket	koja
vilket	koju
svenska	švedski
svenska	svenska
mellan	između
svensk	švedski
svensk	svensk
när	kada
cerro	cerro
frankrike	francuska
död	smrt
död	mrtva
död	mrtvi
död	mrtvo
död	mrtav
kulle	brdo
kina	kina
kina	prc
kommunen	općina
klimatet	klima
est	est
text	tekst
text	text
lista	spisak
lista	lista
annat	ostala
annat	ostale
annat	drugim
annat	drugi
edt	edt
största	najveća
största	najveći
största	najveći
största	najveća
skulle	bi
departementet	odjel
departementet	katedri
departementet	odjeljenje
departementet	departmenta
denna	ove
tropiskt	tropske
tropiskt	tropski
tropiskt	tropska
hill	brdo
flera	nekoliko
periodiskt	periodnog
periodiskt	periodically
nord	sjever
nord	nord
stockholm	stockholm
alla	all
alla	svi
alla	sve
alla	svi
samma	ista
samma	isti
samma	isto
senare	kasnije
olika	drugačija
olika	drugačije
olika	različita
olika	različito
olika	različiti
olika	različitih
olika	različite
olika	različita
olika	razni
olika	razne
olika	raznim
olika	raznih
point	tačka
ort	grad
nya	novi
island	island
dock	međutim
sjön	jezero
tidigare	prethodno
tidigare	ranije
tidigare	bivši
tidigare	prethodna
tidigare	prethodnim
tidigare	prethodni
tidigare	prethodno
tidigare	prethodnom
tidigare	prethodne
brasilien	brazil
colombia	columbia
colombia	kolumbija
colombia	kolumbija
utan	bez
socken	parohija
sina	njihov
sina	njihovi
sina	njihovo
sina	njihova
sina	njihove
score	rezultat
score	rezultatom
spanien	španija
mount	mount
kom	dođu
kom	dolaze
kom	dolazi
kom	doći
kom	došao
kom	došla
stora	velika
stora	velikih
stora	veliki
stora	velikih
stora	veliki
stora	stora
kinshasa	kinshasa
omgivande	okolne
omgivande	okolnim
basen	baza
tre	tre
tre	tri
shift	pomak
algeriet	alžir
dessa	ove
dessa	oni
dessa	one
chile	čile
växtlighet	vegetacija
mer	više
här	tu
här	ovde
här	ovdje
kongo	kongo
öst	istok
