douro	douro	douro	douro	N;MASC;SG	PROPN;NOM;MASC;SG
diminuir	zmanjšanje	diminuir	zmanjšanje	V;NFIN	N;NOM;NEUT;SG
diminuir	znižanje	diminuir	znižanje	V;NFIN	N;NOM;NEUT;SG
atingindo	doseganje	atingir	doseganje	V;V.MSDR	N;NOM;NEUT;SG
evil	zlobna	evil	zloben	N;MASC;SG	ADJ;NOM;FEM;SG
evil	zlo	evil	zlo	N;MASC;SG	
evil	hudoben	evil	hudoben	N;MASC;SG	ADJ;NOM;INDF;MASC;SG
evil	zloben	evil	zloben	N;MASC;SG	ADJ;NOM;INDF;MASC;SG
evil	zlobno	evil	zlobno	N;MASC;SG	ADJ;NOM;NEUT;SG
premiado	oddana	premiar	oddan	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
premiado	oddano	premiar	oddano	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
igualdade	enakost	igualdade	enakost	N;FEM;SG	DET;NOM;NEUT;SG
aonde	kjer	aonde	kjer	ADV	CONJ
visitar	obisk	visitar	obisk	V;NFIN	N;NOM;MASC;SG
run	beži	run	bež	N;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN
run	zbeži	run	zbež	N;MASC;SG	V;PFV;IND;SG;3;PRS;FIN
run	teči	run	teči	N;MASC;SG	V;IPFV;NFIN
capturado	ujeli	capturar	ujeti	V;MASC;SG;V.PTCP	V;PFV;MASC;PL;V.PTCP
capturado	ujeta	capturar	ujeti	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
capturado	ujet	capturar	ujet	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
reno	porenje	reno	porenje	N;MASC;SG	PROPN;NOM;NEUT;SG
reno	ren	reno	ren	N;MASC;SG	PROPN;NOM;FEM;SG
oposto	nasproti	oposto	nasproti	ADJ;MASC;SG	
oposto	nasprotje	oposto	nasprotje	ADJ;MASC;SG	N;NOM;NEUT;SG
primário	primarno	primário	primaren	N;MASC;SG	ADV
primário	primarne	primário	primaren	N;MASC;SG	ADJ;NOM;FEM;PL
primário	primarna	primário	primaren	N;MASC;SG	ADJ;NOM;FEM;SG
primário	primarni	primário	primaren	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
