العبودية	slawerny
فوج	vogue
منحنى	curve
السلك	gidse
لغوية	linguistiese
وطن	bantoestan
استضافة	gasheer
استضافة	aangebied
المحاكمة	verhoor
المحاكمة	agterstand
الشبكية	retina
وجوه	gesigte
تعامل	treat
تعامل	behandel
عنق	nek
التشريع	wetgewing
كونيتيكت	connecticut
الاطفال	kinders
الاطفال	kinders
الاطفال	babies
بار	balk
بار	bar
بار	kroeg
قراصنة	pirates
ثالثة	derde
سويدي	sweedse
الضرب	maal
ملح	sout
ملح	tafelsout
حبيبي	baba
الشروق	sonsopkoms
مزدوج	dubbel
مزدوج	dubbele
كلود	claude
العمق	diepte
مصنوع	gemaak
غازات	gas
غازات	gasse
داروين	darwin
كارول	carol
تطبق	toegepas
تطبق	aangewend
كوسوفو	kosovo
المستحيل	onmoontlik
الدجاج	hoender
السباقات	races
السباقات	racing
السباقات	resies
التحديات	uitdagings
كريمة	room
كريمة	cream
جونغ	jung
شهيرة	bekende
شهيرة	beroemd
شهيرة	famous
التجديد	innovasie
التجديد	hernuwing
المدرعة	gewapende
المدرعة	armoured
طبعا	seker
تروي	troy
ميغيل	miguel
المتقدم	vorder
المتقدم	moeiliker
المتقدم	gevorderde
المتقدم	gevorderd
لوحظ	gehandhaaf
لوحظ	waargeneem
لوحظ	genoteer
لوحظ	gelet
مسحوق	powder
موجه	regie
موجه	gerig
بطن	abdomen
السعر	prys
المهرة	vaardige
تصفية	filter
تصفية	filtreer
تصفية	likwidasie
التذاكر	kaartjies
التذاكر	kaartjie
المشاهير	beroemde
المشاهير	bekendes
التفتيش	inspeksie
التفتيش	insae
تكشف	vertoon
تكشف	onthul
نيلسون	nelson
المحاولات	pogings
الزنك	sink
سحر	toor
سحر	magic
تنشيط	aktivering
تنشيط	aktiveer
الورقة	papier
الورقة	staat
لوثر	luther
شطرنج	skaak
متجر	winkel
متجر	stoor
متجر	winkel
التنس	tennis
المتطلبات	vereistes
النسر	eagle
النسر	arend
النسر	aasvoëls
النسر	aasvoël
فرعي	sub
مهددة	gedreig
مهددة	bedreig
جوني	johnny
ضفدع	padda
جزئية	gedeeltelik
جزئية	gedeeltelike
المتطوعين	volunteers
المشاركون	deelnemers
اجتماعات	meetings
اجتماعات	vergaderings
منهجية	stelselmatig
المعادلات	vergelykings
البلطيق	baltiese
السويسرية	swiss
السويسرية	switserse
السويسرية	sweedse
خشب	hout
تشييد	oprigting
تشييد	konstruksie
المساحات	ruimtes
المساحات	spasies
الحوت	pisces
الحوت	visse
الحوت	walvis
ياسمين	jasmine
مفتي	mufti
لوبيز	lopez
ادعى	opgeëis
ادعى	geëis
المساء	aand
المساء	naand
جوليا	magda
جوليا	julia
الكل	alle
الكل	alles
الكل	all
الكل	almal
الكل	al
الكل	als
المعاملة	transaksie
المعاملة	behandeling
المتغير	veranderlikes
شارلوت	charlotte
ديانا	diana
منتزه	park
