भित्ति	väggmålning
नरसंहार	massakern
नरसंहार	massakrer
नरसंहार	massaker
नरसंहार	folkmord
विचारकों	tänkare
बिशप	löpare
बिशप	biskop
बिशप	bishop
दुर्भाग्य	olycka
दुर्भाग्य	motgångar
दुर्भाग्य	tyvärr
दुर्भाग्य	olyckligtvis
दुर्भाग्य	dessvärre
संतृप्त	mättad
संतृप्त	mättade
लैस	lacy
पड़ोस	grannskap
पड़ोस	stadsdel
पड़ोस	stadsdelar
न्यास	foundation
न्यास	rf
न्यास	grundande
न्यास	stiftelsen
न्यास	stiftelse
फोरम	forum
फोरम	forumet
एथेंस	aten
पूँछ	svans
पूँछ	stjärt
पूँछ	svansen
धीमा	slow
धीमा	långsam
धीमा	långsamt
धीमा	sakta
धीमा	långsamma
धीमा	långsammare
चिन	hakan
चिन	haka
राज्याभिषेक	kröning
लड़का	boy
लड़का	pojke
लड़का	gosse
लड़का	pojk
मनोनीत	nominerar
मनोनीत	nominera
मनोनीत	nominerade
मनोनीत	nomineras
मनोनीत	nominerad
मनोनीत	utsedda
बॉडी	body
बॉडी	kropp
बॉडी	kroppen
बॉडी	kropps
संकोच	tvekar
संकोच	tveka
पीतल	brass
पीतल	mässing
महानतम	störst
महानतम	största
मुक्केबाजी	boxas
मुक्केबाजी	boxning
गुजर	förbipasserande
गुजर	passerar
उभरा	framkom
उभरा	framkommit
उभरा	svällande
बढ़ाना	förvärra
बोतल	flaska
बोतल	flaskan
बोतल	burk
पिस्टन	kolv
त्रिज्या	radie
तुम्हारा	ditt
तुम्हारा	din
तुम्हारा	dina
सस्ता	snål
सस्ता	snåla
सस्ता	billigt
सस्ता	billig
सस्ता	billiga
सस्ता	billigare
चेन	chen
चेन	kedja
चेन	kedjan
आर्द्रता	luftfuktighet
आर्द्रता	fukt
आर्द्रता	fuktighet
ऑक्सीकरण	oxidation
समन्वित	samordnas
समन्वित	samordnade
समन्वित	samordnat
समन्वित	samordnad
संचिका	filer
संचिका	akter
संचिका	mappar
संचिका	arkiv
संचिका	file
संचिका	fil
दाखिला	inskrivning
स्पष्टीकरण	förklaring
स्पष्टीकरण	förklaringar
स्पष्टीकरण	förklaringar
स्पष्टीकरण	klargörande
स्पष्टीकरण	förtydligande
निराश	besviken
निराश	besvikna
निराश	frustrerade
निराश	frustrerad
यूट्यूब	youtube
श्रुति	uppenbarelseboken
श्रुति	uppenbarelse
यथार्थवादी	realistisk
यथार्थवादी	realistiska
यथार्थवादी	realistiskt
शक्तियाँ	krafter
शक्तियाँ	powers
शक्तियाँ	befogenheter
शक्तियाँ	maktbefogenheter
सान	san
आंकड़ा	data
आंकड़ा	uppgifter
ग़ज़ल	ghazal
कारखाना	fabriken
कारखाना	fabrik
कारखाना	factory
इब्न	ibn
किम	kim
फलक	bräda
फलक	brädet
फलक	styrelse
फलक	board
फलक	styrelsen
फलक	styrelser
फलक	brädor
फलक	panelen
फलक	panel
