och	그리고
med	함께
som	어느
runt	주위
runt	주변
runt	라운드
månaden	월간
månaden	매달
månaden	매월
nederbörd	강수
ligger	거짓말
ingår	포함
ingår	포함됨
ingår	포함
ingår	포함됨
ett	하나
familjen	가족
familjen	가족과
familjen	패밀리
inga	없음
delen	부분
delen	부품
delen	파트
life	생명
life	생활
life	라이프
life	인생
listade	나열
landet	나라
landet	국가
landet	시골
landet	컨트리
meter	미터
meter	미터
meter	미터
meter	미터
meter	야드
huvudstaden	캐피틀
huvudstaden	캐피톨
huvudstaden	의사당
huvudstaden	캐피탈
huvudstaden	자본
huvudstaden	수도
huvudstaden	캐피탈
huvudstaden	자본주의
huvudstaden	캐피털
havet	바다
havet	바다
havet	오션
invånare	레지던트
invånare	주민들
invånare	시민
invånare	시민들
januari	일월
millimeter	밀리미터
millimeter	밀리미터
millimeter	밀리미터
millimeter	밀리미터
genomsnitt	평균
genomsnitt	평균
genomsnittlig	평균
var	어디서
var	어디
var	어디에
var	어디로
han	한한
från	출신
kanada	캐나다
närheten	근접
men	그런데
men	그러나
men	근데
men	하지만
högsta	슈프림
högsta	최대
högsta	최고
augusti	아우구스트
länkar	링크
externa	외부
läge	위치
läge	모드
även	심지어
även	조차도
även	또한
lake	호수
lake	호야
sjö	호수
sjö	호야
sjö	바다
inte	아님
sig	sig
två	두두
två	두분
lac	lac
terrängen	지형
växer	growing
växer	성장
växer	자라고
växer	자라
många	많은
nära	닫기
nära	닫습니다
nära	닫아
nära	근처
väster	서쪽
väster	서부
väster	웨스트
öster	동부
öster	이스트
öster	동쪽
först	우선
först	퍼스트
först	처음
först	먼저
berg	산악
berg	산맥
indonesien	인도네시아
usa	usa
usa	미국
mars	행진
mars	행진곡
mars	마스
mars	화성
norr	북부
norr	북쪽
norr	노스
man	남자
man	남성
man	사람
september	구월
större	전공
större	메이저
centrala	중부
centrala	센트럴
nordväst	북서쪽
nordväst	노스웨스트
nordväst	북서부
nordväst	북서
andra	둘째
andra	두번째
andra	기타
andra	다른
andra	기타
där	거기
där	거기에
där	어디서
där	어디
där	어디에
där	어디로
nordost	북동
nordost	북동부
nog	충분해
nog	충분한
nog	충분히
huvudsakligen	주로
huvudsakligen	주로
ovanligt	특이한
ovanligt	unusual
ovanligt	드문
söder	남부
söder	사우스
söder	남쪽
mycket	아주
mycket	매우
mycket	많이
mycket	훨씬
jpg	jpeg
jpg	jpg
regionen	지방
regionen	지역
ottawa	오타와
creek	크리크
platt	평평한
platt	플랫
född	born
född	출생
född	탄생
finland	핀란드
samhälle	사회
samhälle	커뮤니티
samhälle	공동체
hon	그녀
hon	그녀는
består	작곡
består	자작곡
platser	좌석
platser	자리
platser	위치
platser	음식점
platser	장소
platser	사이트
första	우선
första	퍼스트
första	처음
första	먼저
fick	got
fick	받았습니다
fick	받은
fick	받음
sydväst	사우스웨스트
sydväst	남서
sydväst	남서부
området	구역
området	영역
området	지역
området	면적
australien	오스트레일리아
australien	오스트레일리아의
sydöstra	남동
sydöstra	동남아
sydöstra	남동부
sydöstra	남동
april	에이프릴
april	사월
sydost	남동
sydost	동남아
hans	그의
södra	남부
södra	남방
södra	남부
södra	사우스
södra	남쪽
toppen	인기
toppen	top
sverige	스웨덴
sedan	그렇다면
sedan	그러면
sedan	그때
sedan	언제부터
sedan	이후
sedan	이후부터
östra	동부
östra	이스트
östra	동쪽
östra	동부
östra	동방
genom	통해
sitt	앉아
kilometer	킬로미터
kilometer	킬로미터
kilometer	킬로미터
norra	북부
norra	북쪽
norra	노스
norra	북부
också	또한
talet	연설
talet	음성
detta	이거
mot	향해
västra	서쪽
västra	서부
västra	웨스트
västra	웨스턴
västra	서부
västra	서양
del	부분
del	부품
del	파트
del	del
riktning	방향
namn	이름
namn	이름
vilket	어느
svenska	스웨덴어
svenska	스웨덴
svenska	스웨덴인
svensk	스웨덴어
svensk	스웨덴
svensk	스웨덴인
när	언제쯤
när	언제
frankrike	프랑스
död	죽음
död	사망
död	데스
död	사망
död	데드
kulle	언덕
kina	중국인
kina	중국
kina	차이나
klimatet	기후학
klimatet	기후
est	est
jordbruksmark	농지
text	텍스트
text	문자
text	문구
lista	리스트
lista	목록
lista	명단
annat	기타
annat	다른
departementet	부서
denna	이거
tropiskt	열대
park	파크
park	공원
hill	언덕
flera	여러개
flera	다중
periodiskt	주기적으로
nord	북부
nord	북쪽
nord	노스
stockholm	스톡홀름
alla	모두
alla	전체
alla	모두
samma	같은
samma	동일
samma	똑같이
senare	나중에
olika	달라
olika	다름
olika	다르다
point	지점
point	포인트
ort	도시
ort	시티
island	아이슬란드
dock	그러나
sjön	호수
sjön	호야
tidigare	아까
tidigare	이전
brasilien	브라질
colombia	콜롬비아
colombia	콜럼비아
colombia	컬럼비아
colombia	콜롬비아
utan	without
sina	그들의
score	점수
score	득점
spanien	스페인인
spanien	스페인
mount	마운트
stora	대형
kinshasa	킨샤사
omgivande	둘러싸인
basen	기지
basen	베이스
shift	쉬프트
shift	shift
shift	시프트
algeriet	알제리
chile	칠레
växtlighet	식물
mer	기타
här	여기
här	여기에
kongo	콩고
öst	동부
öst	이스트
öst	동쪽
öst	동부
öst	동방
region	지방
region	지역
jakarta	자카르타
wat	wat
file	파일
släkte	세대
släkte	품종
sydlig	남부
sydlig	남방
västlig	웨스턴
västlig	서부
västlig	서양
sydvästra	남서부
sydvästra	사우스웨스트
sydvästra	남서
sydvästra	남서부
tillsammans	함께
tillsammans	같이
samhällen	커뮤니티
samhällen	공동체
republiken	공화국
öppet	오픈
öppet	열기
öppet	투명
öppet	투명한
delstat	상태
delstat	국가
innan	이전
innan	전에
canberra	캔버라
mål	목표
mål	목표
mål	목표
bosnien	보스니아
afghanistan	아프가니스탄
hercegovina	헤르체고비나
administrativ	행정
nordöstra	북동
nordöstra	북동부
bara	단발
bara	오직
bara	단지
bara	그냥
ska	ska
ska	스카
ska	스카우터
ontario	온타리오
plats	장소
plats	위치
land	나라
land	국가
land	시골
land	컨트리
land	육지
land	랜드
amerikansk	아메리칸
amerikansk	미국인
helsingfors	헬싱키
tid	시간
tid	타임
tid	time
ofta	자주
ofta	자주
några	일부
kommer	출시
kommer	coming
exempel	예제
exempel	예시
exempel	예시
exempel	예제
någon	아무나
någon	누구나
någon	누군가
någon	누군가
saint	세인트
något	다소
något	약간
något	무엇인가
något	something
något	뭔가
något	무언가
stor	대형
ingen	없음
ingen	아무도
staden	시내
staden	도시
staden	타운
staden	마을
staden	도시
staden	시티
kallt	춥다
kallt	감기
kallt	추위
kallt	차가운
får	양양
naturlig	자연
naturlig	천연
mest	대부분의
mest	대부분
mest	주로
mest	대부분
webbplats	웹사이트
webbplats	사이트
mosaik	모자이크
team	team
började	시작되었습니다
började	시작했습니다
började	시작됨
hela	낫다
gör	make
honom	그를
gick	걷기
kyrka	교회
nordvästra	노스웨스턴
nordvästra	북서
nordvästra	북서부
nordvästra	북서쪽
nordvästra	노스웨스트
nordvästra	북서부
nordvästra	북서
angola	앙골라
