और	en
से	van
से	vanuit
से	vanaf
एक	een
श्रेणी	reeks
श्रेणी	series
श्रेणी	kategorië
श्रेणी	kategorieë
भी	selfs
भी	ook
भी	te
यह	dit
यह	hierdie
यह	dié
किया	voltooi
किया	gedoen
किया	klaar
इस	dit
इस	hierdie
इस	dié
कि	dat
कि	wat
कि	dai
भारत	india
भारत	indië
जो	joe
जो	wie
ही	hee
रूप	vorms
रूप	voorkoms
कर	belasting
कर	belastings
नहीं	nie
उत्तराखण्ड	uttarakhand
साथ	mee
साथ	met
साथ	gekuier
साथ	saam
पूर्व	oos
पूर्व	former
पूर्व	voormalige
होता	sou
बाद	later
बाद	na
बाद	nadat
बाद	ná
तक	totdat
तक	tot
अपने	eie
अपने	jou
जिले	distrikte
था	moes
था	was
राज्य	provinsies
राज्य	deelstate
राज्य	state
राज्य	staat
राज्य	deelstaat
राज्य	provinsie
राज्य	toestand
राज्य	spasie
बाहरी	outdoor
बाहरी	buite
बाहरी	buitelug
बाहरी	outer
बाहरी	eks
बाहरी	eksterne
बाहरी	buitelewe
बाहरी	buitelug
कुछ	sommige
कुछ	iets
ईसा	jesus
गाँव	village
गाँव	dorpie
सरकार	regering
कड़ियाँ	kettings
कड़ियाँ	skakels
प्रदेश	streek
इसके	its
दिया	gegee
अन्य	ander
वर्ष	jare
वर्ष	jaar
समय	tyd
समय	tydstip
नाम	naam
नाम	benoem
नाम	gebruikernaam
प्रकार	tipe
प्रकार	tik
प्रकार	soorte
प्रकार	tipes
भारतीय	indiër
भारतीय	indiese
किसी	iemand
क्षेत्र	omgewing
क्षेत्र	gebied
क्षेत्र	oppervlakte
क्षेत्र	area
क्षेत्र	streek
क्षेत्र	gebiede
अधिक	nog
अधिक	meer
कई	vele
कई	baie
कई	klomp
वाले	wale
स्थित	geleë
मण्डल	sone
आधिकारिक	amptelik
आधिकारिक	amptenaar
आधिकारिक	amptelike
कारण	redes
कारण	rede
कारण	oorsaak
कारण	saak
कारण	veroorsaak
कारण	sake
कारण	oorsake
होने	synde
जैसे	soos
करता	boelies
उनके	hul
उनके	hulle
सबसे	meeste
सबसे	mees
हिन्दी	hindi
बहुत	baie
पहले	voor
पहले	before
पहले	ago
पहले	gelede
पहले	earlier
पहले	vroeër
पहले	eerste
पहले	eers
अपनी	eie
दो	twee
जिला	distrik
जब	wanneer
उन्होंने	egyptians
जन्म	gebore
जन्म	geboorte
कोई	koi
कोई	enige
इन	inn
इन	herberg
लेकिन	maar
ये	dit
ये	hierdie
ये	dié
कम	lae
कम	minder
कहा	gesê
लोग	mense
आदि	ens
आदि	nog
आदि	meer
आदि	adi
उसके	haar
प्राचीन	antieke
प्राचीन	praetor
देखें	waarneem
देखें	horlosie
देखें	kyk
देखें	dophou
देखें	sien
देखें	aansig
देखें	besigtig
देखें	bekyk
उत्तर	noorde
उत्तर	noord
उत्तर	antwoorde
भाषा	tale
लिये	vir
लिये	altesaam
सभी	alle
सभी	alles
सभी	all
सभी	almal
सभी	al
सभी	als
प्राप्त	ontvang
प्राप्त	ontvang
इसका	its
प्रयोग	eksperimente
प्रयोग	gebruik
प्रयोग	eksperimenteer
प्रयोग	eksperiment
शामिल	ingesluit
शामिल	insluit
शामिल	ingesluit
उन्हें	hulle
उस	dat
उस	wat
उस	dai
स्थान	plekke
स्थान	plek
स्थान	venue
स्थान	lokaal
स्थान	liggings
स्थान	plek
स्थान	location
स्थान	ligging
प्रमुख	chief
प्रमुख	major
प्रमुख	majoor
प्रमुख	hoofvak
प्रमुख	hoof
हुई	hui
बीच	strand
बीच	sentreer
बीच	gesentreer
गए	gone
गए	gegaan
मुख्य	chief
मुख्य	hoof
थी	was
बिहार	bihar
उसे	hom
उसे	haar
कार्य	take
कार्य	werk
कार्य	job
कार्य	werkie
कार्य	werk
कार्य	jobs
कार्य	werksgeleenthede
कार्य	werke
कार्य	betrekkings
कार्य	poste
कार्य	taak
उनकी	hul
आंध्र	andhra
नगर	town
नगर	stad
नगर	nagar
उपयोग	gebruik
उपयोग	gebruik
उपयोग	gebruike
लोगों	mense
आधार	base
आधार	onderliggende
आधार	basis
आधार	grondslag
काम	werk
जीवन	lewe
विश्व	wêreld
भाग	seksies
भाग	afdelings
भाग	artikels
भाग	deel
भाग	gedeelte
भाग	dele
भाग	parte
निर्माण	skepping
निर्माण	oprigting
निर्माण	konstruksie
निर्माण	bou
निर्माण	vervaardiging
दोनों	altwee
दोनों	beide
दोनों	albei
दोनों	sowel
राष्ट्रीय	nasionale
राष्ट्रीय	national
राष्ट्रीय	nasionaal
जानकारी	informasie
जानकारी	inligting
पोर्टल	portal
शहर	downtown
शहर	stad
शहर	stede
बार	balke
बार	sterre
बार	kroeë
बार	tralies
बार	balk
बार	bar
बार	kroeg
बार	tye
बार	kere
लगभग	amper
लगभग	ongeveer
फिल्म	fliek
फिल्म	rolprent
फिल्म	rolprent
यहाँ	hier
प्रसिद्ध	bekende
प्रसिद्ध	beroemd
प्रसिद्ध	famous
विकास	ontwikkeling
विकास	growth
विकास	groei
केवल	slegs
केवल	net
देश	country
देश	land
देश	nasie
देश	lande
वेबसाइट	webwerf
वेबसाइट	webtuiste
अलग	geskeide
अलग	geskei
अलग	verskillende
अलग	anders
अलग	afsonderlike
अलग	aparte
विशेष	eksklusiewe
विशेष	spesiaal
इसकी	its
कभी	ooit
दी	gegee
पृष्ठ	blad
पृष्ठ	bladsy
पृष्ठ	bladsye
पृष्ठ	blaaie
पृष्ठ	bladsy
माना	geag
माना	oorweeg
माना	mana
माना	veronderstel
शब्द	woord
शब्द	woorde
फिर	then
फिर	dan
तीन	drie
पुरस्कार	belonings
पुरस्कार	prys
पुरस्कार	toekenning
पुरस्कार	toekennings
पुरस्कार	toekenings
पुरस्कार	beloning
लेख	artikels
लेख	thesis
अब	nou
अब	now
अब	tans
दौरान	tydens
दौरान	gedurende
अमेरिका	amerika
मंदिर	tempel
मंदिर	temple
अलावा	optel
अलावा	byvoeging
अलावा	apart
दक्षिण	suid
स्थल	plek
स्थल	venue
स्थल	lokaal
विभिन्न	verskeie
विभिन्न	allerlei
विभिन्न	diverse
विभिन्न	verskeie
इतिहास	geskiedenis
इतिहास	history
लिया	geneem
फ़िल्म	fliek
फ़िल्म	rolprent
फ़िल्म	rolprent
क्योंकि	want
पास	verbygaan
विस्तृत	gedetailleerde
विस्तृत	gedetaileerde
विस्तृत	moeiliker
विस्तृत	gevorderde
विस्तृत	gevorderd
दिन	dag
दिन	dae
कृषि	landbou
कृषि	grondbewerking
जाना	lewensvatbaarheid
शुरू	aanvang
व्यक्ति	individuele
व्यक्ति	individu
उनका	hul
विज्ञान	wetenskap
सदस्य	lid
सदस्य	intekenaars
सदस्य	lede
हालांकि	hoewel
हालांकि	alhoewel
हालांकि	though
सिंह	singh
सिंह	leeu
अनेक	vele
अनेक	baie
अनेक	klomp
अनेक	veelvuldige
अनेक	veelvoud
यहां	hier
संख्या	nommer
संख्या	getalle
संख्या	getal
संख्या	getalle
संख्या	nommers
अपना	eie
अपना	jou
बात	ding
बात	praat
साहित्य	letterkunde
साहित्य	literatuur
शिक्षा	opvoeding
शिक्षा	opvoedkunde
शिक्षा	onderwys
शिक्षा	opleiding
शिक्षा	onderrig
दिल्ली	delhi
धर्म	religie
धर्म	godsdiens
धर्म	gelowe
धर्म	dharma
मूल	oorsprong
मूल	inheemse
मूल	plaaslik
मूल	oorspronklik
मूल	oorspronklike
मूल	basies
मूल	basic
मूल	basiese
तब	then
तब	dan
बना	maak
बना	gemaak
कोड	kode
कोड	kodes
संयुक्त	gelyklopende
संयुक्त	vereenigde
संयुक्त	united
संयुक्त	verenigde
संयुक्त	gekombineer
संयुक्त	combined
संयुक्त	gesamentlike
संयुक्त	joint
जुलाई	julie
युद्ध	slag
युद्ध	veldslag
युद्ध	oorlog
नदी	rivier
काल	oproep
काल	bel
काल	roep
काल	skakel
काल	periode
ऐसे	wyl
ऐसे	sulke
वर्षों	jare
प्रति	per
स्टेशन	stasie
स्टेशन	stasies
जनवरी	januarie
मध्य	sentrale
मध्य	sentraal
मध्य	sentreer
मध्य	gesentreer
मध्य	middelste
मध्य	midde
राजा	raja
राजा	heer
राजा	king
राजा	koning
प्रथम	eerste
प्रथम	eers
विश्वविद्यालय	universiteite
विश्वविद्यालय	universiteit
जून	jun
जून	july
जून	junie
जून	junie
उसकी	haar
मार्च	mer
मार्च	maart
मार्च	optog
बन	bun
बनी	hasie
बनी	bunny
अर्थ	betekenis
अप्रैल	april
महत्वपूर्ण	belangrik
महत्वपूर्ण	belangrike
महत्वपूर्ण	kritieke
महत्वपूर्ण	krities
महत्वपूर्ण	kritiese
महत्वपूर्ण	kritiek
प्रामाणिक	eg
प्रामाणिक	aandag
आप	julle
आप	jy
किए	coa
अक्टूबर	oktober
अक्टूबर	okt
अक्टूबर	oct
समूह	gemeente
समूह	groep
समूह	groepeer
वर्तमान	hede
वर्तमान	tans
वर्तमान	voordra
वर्तमान	teenwoordig
अध्ययन	studying
अध्ययन	opstaan
अध्ययन	studeer
अध्ययन	bestudeer
अध्ययन	studie
अध्ययन	studeer
अध्ययन	studies
विभाग	departement
विभाग	division
विभाग	deling
विभाग	departemente
आम	mango
आम	gemeen
आम	common
आम	gemeenskaplike
स्थिति	staat
स्थिति	deelstaat
स्थिति	provinsie
स्थिति	toestand
स्थिति	spasie
स्थिति	voorwaarde
स्थिति	kondisie
स्थिति	situasie
प्रभाव	impact
प्रभाव	impak
प्रभाव	effekte
प्रभाव	invloede
प्रभाव	effek
आदर्श	ideaal
आदर्श	afgod
आदर्श	idol
साल	jare
साल	jaar
पहली	eerste
पहली	eers
संगीत	musiek
अमेरिकी	amerikaans
अमेरिकी	american
अमेरिकी	amerikaanse
अमेरिकी	americans
सेवा	diens
बनाने	toelae
बनाने	diggers
आज	vandag
स्थापित	daargestel
स्थापित	vasgestel
स्थापित	gevestig
स्थापित	geïnstalleer
स्थापित	geinstalleer
स्थापित	gestig
स्थापित	vestig
उच्च	hoë
उच्च	hoog
उपलब्ध	beskikbaar
काफी	genoeg
काफी	plenty
काफी	heel
चार	vier
शक	twyfel
शक	saka
प्रभा	pera
श्री	sri
उदाहरण	instansie
उदाहरण	voorbeeld
उदाहरण	gevalle
उदाहरण	instansies
उदाहरण	voorbeelde
उदाहरण	voorbeeld
उदाहरण	illustrasie
उदाहरण	voorbeelde
उसका	haar
ले	neem
ले	tree
ले	vat
जिससे	watter
जिससे	watse
स्थापना	installasie
स्थापना	installasies
स्थापना	vestiging
कंपनी	maatskappy
अधिकांश	meeste
अधिकांश	mees
अधिकांश	meestal
सामाजिक	maatskaplike
सामाजिक	sosiale
सामाजिक	sosiaal
प्रत्येक	elke
प्रत्येक	elk
बड़ा	groot
बड़ा	wonderlik
बड़ा	groter
बनाया	gemaak
बनाया	geskep
जारी	volgehoue
जारी	deurlopende
जारी	voortdurende
जारी	voortgesette
जारी	voortdurende
जारी	uitgereik
जबकि	ruk
जबकि	terwyl
चित्र	prent
चित्र	prente
चित्र	prentjies
चित्र	prent
चित्र	beelde
चित्र	prente
चित्र	beelde
इससे	van
इससे	vanuit
इससे	vanaf
प्रणाली	lêerstelsel
प्रणाली	sisteem
प्रणाली	stelsel
सरकारी	amptelik
सरकारी	amptenaar
सरकारी	amptelike
सरकारी	regering
जहां	waar
जहां	waarheen
देशों	lande
जल	water
सूची	lyste
विचार	idee
विचार	idees
विचार	dog
विचार	gedink
विचार	oorweging
विचार	gedagtes
छोटे	small
छोटे	klein
छोटे	bietjie
ऊपर	bokant
ऊपर	bo
ऊपर	hoogs
ऊपर	bo
आधारित	gebaseer
आधारित	gebasseer
इसलिए	daarom
पानी	water
सामान्य	herhaal
सामान्य	algemene
सामान्य	generaal
सामान्य	gemeen
सामान्य	common
सामान्य	gemeenskaplike
सामान्य	normale
सामान्य	normal
सामान्य	normaal
आगे	vorentoe
आगे	vorentoe
कुल	totale
एक्स्प्रेस	express
पुलिस	polisie
वर्ग	vierkantig
वर्ग	vierkant
वर्ग	vierkantige
वर्ग	klasse
वर्ग	klas
शरीर	lyf
शरीर	liggaam
अंग्रेजी	engels
माध्यम	medium
मानव	menslik
मानव	mens
पाकिस्तान	pakistan
भूमिका	bekendstelling
भूमिका	inleiding
भूमिका	rol
हर	har
हर	elke
हर	hur
अतिरिक्त	ekstras
अतिरिक्त	vrye
अतिरिक्त	spare
अतिरिक्त	addisionele
अतिरिक्त	bykomende
अतिरिक्त	ekstra
पिता	vader
समाज	samelewing
समाज	gemeenskap
समाज	geselskap
उत्पन्न	gegenereerde
उत्पन्न	gegenereer
नीचे	ondertoe
नीचे	neer
नीचे	af
नीचे	onder
नीचे	hieronder
नीचे	onderstaande
नीचे	bodem
नीचे	onder
नीचे	onderkant
नीचे	bottom
दुनिया	wêreld
आधुनिक	modern
आधुनिक	moderne
ध्यान	meditasie
ध्यान	aandag
हिंदी	hindi
दे	gee
सभा	gemeente
सभा	saamstel
सभा	gemeente
सभा	byeenkoms
सभा	sabha
परिवार	familie
परिवार	gesin
विषय	onderwerp
विषय	onderwerpe
विषय	vakke
विषय	onderwerp
अधिकार	regte
रंग	deursigtigheid
बाहर	bedank
बाहर	sluit
बाहर	outdoor
बाहर	buite
बाहर	buitelug
बाहर	buite
बाहर	buitelewe
बाहर	buitelug
बाहर	uit
खेल	toneelstuk
खेल	speel
खेल	sportsoorte
खेल	sport
खेल	speletjie
खेल	spel
खेल	speletjies
खेल	wedstryde
खेल	verslae
खेल	sport
खेल	sportsoort
क्षेत्रों	gebiede
जहाँ	waar
जहाँ	waarheen
समान	homogene
समान	dieselfde
समान	selfde
समान	soortgelyke
सितंबर	september
दूर	ver
दूर	weg
दूर	verre
दूर	pa
पता	adresse
शक्ति	sterkte
शक्ति	krag
शक्ति	elektrisiteit
ब्रिटिश	brits
कला	kunste
कला	kuns
घर	tuis
घर	huistoe
घर	tuisblad
घर	huis
घर	house
घर	huis
संस्कृत	sanskrit
प्रकाशित	publiseer
प्रकाशित	gepubliseer
मई	may
मई	mei
मई	mag
प्रक्रिया	proses
प्रक्रिया	prosesse
प्रक्रिया	prosedure
सेना	sena
सेना	weermag
सेना	leër
सेना	army
पार्टी	party
पार्टी	feesvieringe
पार्टी	partytjie
हम	hum
रेलवे	spoorweg
रेलवे	spoorlyn
रेलवे	railways
पश्चिम	wes
अंत	einde
अंत	beëindig
दशक	dekade
पूरी	hele
पूरी	geheel
नए	nuwer
बिना	sonder
क्या	watse
क्या	wat
अगस्त	august
अगस्त	augustus
अगस्त	aug
विकसित	ontwikkel
संबंध	relationships
संबंध	verhoudings
संबंध	verhouding
संबंध	betrekking
संबंध	opsig
संबंध	verhoudinge
संबंध	betrekkinge
संबंध	relations
संबंध	bonding
संबंध	betrekking
संबंध	verwantskap
प्रदर्शन	werkverrigting
प्रदर्शन	prestasie
प्रदर्शन	opvoering
प्रदर्शन	optredes
प्रदर्शन	vertoon
प्रदर्शन	aansig
प्रदर्शन	blootstelling
प्रदर्शन	exposure
ऐसी	wyl
ऐसी	sulke
मार्ग	roete
मार्ग	manier
मार्ग	way
पर्यटन	toerisme
ज्ञान	kennis
दिसम्बर	desember
दिसम्बर	dec
दिसम्बर	des
प्रदर्शित	uitgelig
प्रदर्शित	inloer
प्रदर्शित	gewild
प्रदर्शित	uitgestal
प्रदर्शित	uitstal
प्रदर्शित	vertoon
प्रदर्शित	vertoon
प्रदर्शित	aansig
अक्सर	gereeld
अक्सर	gereeld
अक्सर	dikwels
सहायता	help
सहायता	hulp
सहायता	ondersteuning
सहायता	ondersteun
सहायता	steun
सहायता	bystand
पहला	eerste
पहला	eers
मृत्यु	dood
स्वयं	self
स्वयं	eie
विकिपीडिया	wiki
विकिपीडिया	wikipedia
तैयार	herlaai
तैयार	gereed
आवश्यक	vereiste
आवश्यक	benodigde
आवश्यक	benodig
आवश्यक	vereis
आवश्यक	urgent
आवश्यक	dringende
देखा	gekyk
देखा	gesien
देखा	saag
उत्पादन	produksie
रोग	siekte
संबंधित	verwante
संबंधित	verwant
शताब्दी	eeue
शताब्दी	eeu
चीन	china
चीन	sjina
अभी	nou
अभी	now
अभी	tans
संघ	union
संघ	unie
संघ	unions
संघ	federasie
संघ	vereniging
संघ	assosiasie
यात्रा	reis
यात्रा	journey
यात्रा	uitstappie
मात्रा	bedrag
मात्रा	hoeveelheid
मात्रा	aantal
मात्रा	kwantiteit
रचना	skepping
रचना	samestelling
रचना	komposisie
जगह	spasiëring
जगह	plek
जगह	spasie
भिन्न	diskrete
भिन्न	verskillende
भिन्न	anders
भिन्न	fraksie
भिन्न	breuk
लोक	openbare
लोक	openbaar
लोक	publieke
लोक	publiek
लोक	folk
सब	alle
सब	alles
सब	all
सब	almal
सब	al
सब	als
पूरा	voltooi
पूरा	afgehandel
पूरा	vol
पूरा	volle
पूरा	hele
पूरा	geheel
पूरा	voltooi
पूरा	afgehandel
प्रकाश	lig
प्रकाश	ligte
नई	nuut
नई	nuwe
नई	nuwer
चिकित्सा	mediese
चिकित्सा	medies
चिकित्सा	therapy
दूसरी	sekondes
दूसरी	sekonde
कार्यक्रम	programme
कार्यक्रम	gebeure
कार्यक्रम	aktiwiteite
कार्यक्रम	geleenthede
कार्यक्रम	aktiwiteite
कार्यक्रम	geleentheid
पुराने	oud
पुराने	ou
पुराने	ouer
सदी	eeue
सदी	eeu
भगवान	god
भगवान	here
लिखा	geskryf
संस्थान	instituut
संस्कृति	kultuur
अंग्रेज़ी	engels
पूर्ण	perfek
पूर्ण	vol
पूर्ण	volle
पूर्ण	voltooi
पूर्ण	afgehandel
पूर्ण	voltooi
पूर्ण	afgehandel
परिवर्तन	omskakeling
परिवर्तन	oorgang
परिवर्तन	verander
परिवर्तन	transformasie
परिवर्तन	veranderings
परिवर्तन	verander
परिवर्तन	wysig
टीम	spanne
टीम	span
चर्चा	bespreking
संगठन	organisasies
अगर	agar
शैली	shelly
स्कूल	skole
स्कूल	skool
पुस्तक	bespreek
पुस्तक	boek
लेखक	skrywer
लेखक	outeur
लेखक	skrywers
लेखक	outeurs
लेखक	skrywers
लेखक	skrywer
लेखक	outeur
संस्करण	uitgawe
संस्करण	weergawes
संस्करण	uitgawes
खिलाड़ी	spelers
खिलाड़ी	atleet
खिलाड़ी	speler
ट्रेन	trein
ट्रेन	treine
आकार	vorms
आकार	vorm
आकार	groottes
आकार	grotes
आकार	groote
उत्तरी	noordelike
उत्तरी	northern
सीमा	beperk
सीमा	sima
सीमा	grens
सीमा	gewysig
सीमा	omvang
सीमा	limiet
सीमा	limiete
सीमा	beperkings
पश्चिमी	westerse
पश्चिमी	western
पश्चिमी	westelike
व्यवस्था	indeling
आर्थिक	ekonomiese
राजधानी	hoofstad
दर्शन	filosofie
दर्शन	visie
विधि	metodes
विधि	reg
विधि	wet
विधि	metode
विधि	modus
अवधि	duur
अवधि	tydperk
अवधि	tydsduur
अवधि	periode
अवधि	tydperke
अवधि	periods
अवधि	periodes
दृष्टि	visuele
दृष्टि	visie
सिद्धांत	teorie
सिद्धांत	beginsels
सिद्धांत	dogma
कलाकार	kunstenaars
कलाकार	kunstenaar
बैंक	banke
बैंक	bank
ज्यादा	nog
ज्यादा	meer
अंतिम	last
अंतिम	laas
अंतिम	laaste
अंतिम	jongste
अंतिम	finale
अंतिम	finaal
विशिष्ट	spesifiek
विशिष्ट	spesifieke
विशिष्ट	voortreflik
हिन्दू	hindu
लाल	reds
लाल	rooi
लाल	rooi
पूर्वी	oos
समर्थन	ondersteuning
समर्थन	ondersteun
समर्थन	steun
समर्थन	bystand
व्यापार	trading
व्यापार	besigheid
व्यापार	verruil
व्यापार	handel
प्रयास	pogings
प्रयास	poging
प्रयास	moeite
महिला	vrou
महिला	dame
महिला	lady
महिला	vroulik
महिला	wyfie
परियोजना	projek
जीवित	lewendig
जीवित	oorleef
नामांकन	nomination
नामांकन	aanwysing
अभिनेता	akteurs
अभिनेता	akteur
क्षमता	kapasiteit
क्षमता	vermoë
क्षमता	vermoeë
क्षमता	lancelot
क्षमता	potensiaal
पाया	gekry
पाया	gevind
स्पष्ट	obvious
वो	sy
पृथ्वी	aarde
गति	mosie
गति	motion
गति	beweging
गति	velocity
गति	snelheid
गति	spoed
गति	skedulering
गति	movement
गति	beweging
परिणाम	uitslag
परिणाम	resultaat
परिणाम	resultate
परिणाम	uitslae
राजस्थान	rajasthan
लेने	vat
होगा	sal
भर	gevul
पुत्र	seun
सहित	insluitende
सहित	insluitend
शासन	reign
शासन	heers
शासन	reël
शासन	governance
शासन	regime
नियंत्रण	kontrole
नियंत्रण	beheer
नियंत्रण	kontrole
नियंत्रण	kontroles
प्रभावित	geraak
प्रभावित	geaffekteer
प्रभावित	geaffekteerde
प्रभावित	beïndruk
छत्तीसगढ़	chhattisgarh
वर्णन	uitbreidings
क्रिकेट	krieket
योजना	plan
एशिया	asië
सन	son
राजनीतिक	politieke
प्राकृतिक	natuurlike
स्थानीय	lokale
स्थानीय	plaaslike
स्थानीय	plaaslik
कहानी	berig
कहानी	narratief
वृद्धि	andersins
वृद्धि	opkoms
वृद्धि	verhoog
वृद्धि	vermeerder
वृद्धि	lift
वृद्धि	growth
वृद्धि	groei
वृद्धि	increment
सुरक्षा	sekuriteit
सुरक्षा	presisie
सुरक्षा	beskerming
सुरक्षा	veiligheid
लोकप्रिय	gewild
लोकप्रिय	gewilde
कवि	digter
हिस्सा	deel
हिस्सा	gedeelte
पद	termyn
पद	rang
पद	rank
हाथ	hande
हाथ	hand
जनता	openbare
जनता	openbaar
जनता	publieke
जनता	publiek
विस्तार	uitbreidings
विस्तार	uitbrei
पूरे	hele
पूरे	geheel
युग	epog
द्वितीय	sekondes
द्वितीय	sekonde
चुनाव	verkiesings
चुनाव	keuses
चुनाव	verkiesing
व्यक्तिगत	persoonlik
व्यक्तिगत	persoonlike
व्यक्तिगत	individuele
व्यक्तिगत	individu
दूसरा	sekondes
दूसरा	sekonde
प्रवेश	ingang
यूरोप	europa
दूरी	afstand
दूरी	spasiëring
निर्मित	geskep
सामग्री	tevrede
सामग्री	gegewens
सामग्री	rots
सामग्री	materiaal
सामग्री	kommentaar
सामग्री	materiale
सामग्री	materiaal
ऊर्जा	energie
घटनाएँ	gebeure
घटनाएँ	aktiwiteite
घटनाएँ	geleenthede
ली	lee
वैज्ञानिक	wetenskaplike
वैज्ञानिक	wetenskaplike
वैज्ञानिक	wetenskaplik
वैज्ञानिक	scientists
कुमार	kumar
उद्देश्य	doeleindes
उद्देश्य	verwesenlik
उद्देश्य	aspris
उद्देश्य	oogmerk
उद्देश्य	doelwit
प्रान्त	provinsie
ऐतिहासिक	historiese
ऐतिहासिक	geskiedkundige
ऐतिहासिक	historiese
सर्वश्रेष्ठ	beste
धार्मिक	godsdienstige
धार्मिक	religieuse
धार्मिक	gelowige
द्वीप	island
द्वीप	eiland
केंद्र	sentreer
केंद्र	gesentreer
केंद्र	sentreer
जनसंख्या	bevolking
