rahman	рахман
stuart	стюърт
stuart	стюарт
gràfiques	диаграми
gary	гери
gary	гари
jimmy	джими
donacions	дарение
donacions	дарения
nana	нана
sebastian	себастиан
sebastian	себастиян
emblema	герб
emblema	емблема
diable	дявол
diable	дявола
papua	папуа
public	публично
public	публични
public	публична
public	обществено
public	публичен
public	обществени
min	мин
min	min
pessetes	песети
herbes	билки
habitat	населен
habitat	населена
habitat	населени
conveni	конвенция
conveni	конгрес
cicles	цикли
llana	вълна
madison	мадисън
madison	медисън
presidencial	президентски
presidencial	президентските
luxe	лукс
luxe	разкош
interessat	заинтересовани
interessat	заинтересована
interessat	заинтригуван
interessat	заинтересуван
interessat	заинтересован
gandia	гандия
potter	потър
oxidació	окисление
filtre	филтър
filtre	филтриране
wild	диво
wild	дивак
wild	диви
wild	дива
wild	див
nominat	номиниран
nominat	номинирана
presidencials	президентски
presidencials	президентските
introdueix	влезте
introdueix	въвеждане
introdueix	въведете
alvèrnia	оверн
assumpció	допускане
assumpció	предположение
intervencions	интервенции
cooperativa	кооперация
insecta	insecta
crèdit	кредитиране
crèdit	кредит
étienne	етиен
lluitant	борба
française	française
diario	diario
maons	тухли
maons	тухлите
assoleix	достига
urani	уран
derivades	деривати
derivades	производни
barry	бари
vinyes	лозя
àguila	орел
nassau	насау
llums	светлини
disposat	желаещи
massacre	клане
lliurament	доставяне
lliurament	доставката
lliurament	доставка
stewart	стюърт
stewart	стюарт
stewart	стюард
llotja	търг
efectivament	наистина
place	място
vázquez	васкес
sever	сивиръс
existien	съществували
existien	съществуваше
existien	съществувало
existien	съществувал
automàtica	автоматично
automàtica	авто
automàtica	автоматична
automàtica	автоматични
automàtica	автоматично
automàtica	автоматичен
moçambic	мозамбик
descobriments	открития
jurídic	правно
jurídic	правни
jurídic	правна
jurídic	юридически
jurídic	правен
jurídic	законно
ampliat	разширени
ampliat	разширена
ampliat	удължен
ampliat	разширен
ampliat	разширено
ampliat	разширена
ampliat	разширени
ampliat	разширен
ampliat	разширено
absorció	усвояване
absorció	абсорбция
absorció	поглъщане
embassament	резервоар
embassament	резервоара
artur	артур
château	шато
núvol	облаци
núvol	клауд
núvol	облак
pèls	косми
sacrifici	жертвоприношение
sacrifici	жертва
sacrifici	саможертва
hèrcules	херкулес
atleta	спортист
atleta	атлет
sanitat	здраве
sanitat	здравеопазване
sanitat	здравето
capturats	заловен
capturats	заловени
capturats	пленен
capturats	уловен
capturats	пленени
leone	леоне
official	официален
official	официално
official	официална
marcus	маркус
marcus	маркъс
beca	стипендия
beca	стипендията
alimenta	храни
avantpassats	предшественици
avantpassats	предците
avantpassats	предци
bonaparte	бонапарт
dimissió	оставката
dimissió	оставка
cames	крака
cames	краката
cames	крачета
superat	преминал
hereus	наследниците
hereus	наследници
euro	еврото
euro	евро
armenis	арменци
armenis	арменците
muntar	монтаж
muntar	монтиране
vins	вина
prince	княз
prince	принц
prince	принс
prince	принцът
holstein	холщайн
catolicisme	католицизма
afecten	засегнат
afecten	засегне
iniciatives	инициативи
fila	ред
connexions	връзки
dignitat	достойно
dignitat	достойнство
dignitat	достойнството
flores	флорес
cartell	плакат
fetge	дроб
marx	маркс
jerarquia	йерархията
jerarquia	йерархия
leonard	ленард
leonard	леонард
leonard	ленърд
emprendre	предприемане
collins	колинс
urbanisme	урбанизъм
escrivint	пиша
escrivint	писане
danubi	дунав
aplicat	приложен
aplicat	приложена
aplicat	прилагана
aplicat	приложено
aplicat	приложени
paquets	опаковки
paquets	пакети
paquets	пратки
caixes	кутии
caixes	сандъци
lentament	бавно
suplement	добавка
suplement	притурка
suplement	допълнение
accessible	достъпна
accessible	достъпен
accessible	достъпни
accessible	достъпно
salons	зали
salons	коридори
filadèlfia	филаделфия
especialistes	специалисти
especialistes	специалистите
hardy	харди
hudson	хъдзън
hudson	хъдсън
combinar	съчетават
amir	амир
infraestructura	инфраструктура
olor	мирис
olor	миризма
olor	аромат
olor	ухание
olor	миризма
olor	миризма
olor	мирис
watson	уотсън
substrat	субстрат
banys	бани
banys	тоалетни
banys	бани
banys	вани
holandès	холандец
holandès	нидерландски
holandès	дъч
holandès	холандски
estrenat	освободена
estrenat	освободен
estrenat	освободени
ibèric	иберийския
harris	харис
mortal	смъртоносен
mortal	смъртоносно
mortal	смъртоносна
mortal	смъртоносни
mortal	смъртни
mortal	смъртен
mortal	смъртна
servit	служил
elionor	елинор
elionor	елеонор
anàlisis	анализи
anàlisis	анализите
gal	гал
chen	чен
trans	транс
anunci	обявяване
anunci	съобщение
anunci	обявление
exposat	изложен
exposat	изложени
exposat	разкрита
compressió	сгъстяване
compressió	компресия
dilluns	понеделник
editada	редактира
examen	изпит
rudolf	рудолф
mèdici	медичите
mèdici	медичи
viscut	живели
viscut	живял
cama	крак
cama	крака
paquet	пратка
paquet	пакет
paquet	пакетът
paquet	опаковка
sergi	сергий
sergi	серхи
transforma	трансформира
transforma	преобразуване
transforma	трансформира
morfologia	морфология
bru	бру
èmfasi	акцент
tierra	тиера
dispersió	дисперсия
dispersió	разпръскване
autopista	магистрала
autopista	магистралата
rebuda	получено
rebuda	получена
rebuda	получен
rebuda	получени
bonet	бонет
huracà	ураган
huracà	урагани
huracà	урагана
huracà	ураганът
margaret	маргарет
desastre	катастрофа
desastre	бедствието
desastre	бедствия
desastre	бедствие
protector	защитник
protector	предпазител
estructural	структурно
estructural	структурни
estructural	структурна
defensiva	отбранителна
entrat	въведена
