الانتقام	bosszú
جرام	gramm
جرام	gram
بولونيا	bolognai
نيكولا	nicola
الفاكهة	gyümölcs
الفاكهة	gyümölcsök
الفاكهة	gyümölcsöt
الكود	kód
حريق	tűz
شواطئ	tengerpart
شواطئ	strandok
الخلط	keverés
الخلط	zavart
الخلط	zavartság
الخلط	zűrzavar
الخلط	zavarodott
الخلط	zavart
الخلط	zavaros
الزهراء	zahra
المقابر	temetőben
المقابر	temető
تصريح	engedély
تصريح	engedélyezés
تصريح	felhatalmazás
تصريح	engedély
تصريح	engedélyt
تصريح	jogosultság
دلالة	jelentősége
منفصل	külön
منفصل	különálló
منفصل	elkülönített
منفصل	külön
هود	hood
هود	csuklyás
بديلة	alternatív
بديلة	alternatíva
بديلة	alternatív
ذروة	csúcs
الشهادات	tanúsítványok
الشهادات	igazolás
الشهادات	tanúsítvány
الشهادات	tanúsítványt
الشهادات	bizonyítvány
الشهادات	tanúsítványok
الشهادات	igazolások
الشهادات	bizonyítványok
التنبؤ	jóslat
التنبؤ	előrejelzés
المشرف	moderátor
المشرف	felügyelő
المشرف	karbantartó
المشرف	admin
المشرف	adminisztrátor
ترميز	kódolás
ترميز	kódolási
ترميز	kódolás
هيلين	helen
يفتح	nyit
يفتح	nyitható
مثبطات	gátlók
مثبطات	inhibitorok
الحمد	dicséret
الحمد	dicsőség
الحمد	dicséretet
الصيانة	karbantartási
الصيانة	karbantartó
الصيانة	karbantartás
الانتقالية	átmeneti
التبغ	dohány
اصدار	kiadás
اصدار	verzió
اصدار	változat
ليلي	lili
ليلي	lily
فيشر	fisher
كول	cole
صغار	fiatalok
صغار	fiatal
صغار	fiatalos
راسل	russel
راسل	russell
صديقة	barátnőm
صديقة	barátnő
صديقة	barátnője
شتات	diaszpóra
الجمجمة	koponya
الجمجمة	koponyát
الكبريت	kén
الكبريت	kén
الظل	árnyékok
الظل	árnyék
الظل	árnyak
الظل	árnyékok
الظل	árny
الظل	árnyék
الظل	árnyék
يختار	kiválasztja
يختار	választja
كارتر	carter
نيفادا	nevada
القلم	pen
القلم	tollat
القلم	toll
التقديرات	becsült
التقديرات	becslés
التقديرات	becslés
التقديرات	becslések
تدرج	gradiens
تدرج	beszúrása
مواصلة	folytatás
مواصلة	folytatása
مواصلة	folytasd
مواصلة	folytatás
كاي	kai
كاي	kay
التنين	sárkány
التنين	dragon
تغيرت	megváltozott
تغيرت	változott
النضال	küzdelem
اريد	akarsz
اريد	akar
اريد	akarod
اريد	akarom
هول	terem
هول	hall
هول	csarnok
هول	howl
مشارك	résztvevő
الطقوس	rituálé
الطقوس	szertartás
الطقوس	rituális
الطقوس	rituálék
الفطر	gombát
الفطر	gomba
الفطر	gombák
دل	del
جرذ	patkányt
جرذ	patkány
سكاي	égbolt
سكاي	sky
سكاي	ég
ثمان	nyolc
مشاركات	részvények
مشاركات	részvény
مشاركات	részesedés
باعتبار	tekintve
الناجحة	sikeres
الناجحة	sikeresen
السجل	rekord
السجل	lemez
السجل	nyilvántartás
السجل	regisztrálj
السجل	regisztráció
السجل	napló
السجل	log
موحدة	egységes
موحدة	egyesített
موحدة	szabványosított
موحدة	egységes
موحدة	egyenruhás
موحدة	egyenruha
التحدي	kihívás
سونغ	sung
سونغ	dal
سونغ	dalt
سونغ	song
محاضرة	előadás
النانو	nano
الالكترونية	elektronikusan
الالكترونية	elektronikus
هوليوود	hollywood
هوليوود	hollywoodban
هوليوود	hollywoodi
بوير	boyer
البقرة	tehenet
البقرة	tehén
الديناصورات	dinoszauruszok
الديناصورات	dinoszauruszok
الديناصورات	dinoszaurusz
شمسي	napenergia
اربع	négy
الحافة	edge
خريف	ősz
خريف	őszi
خريف	ősszel
فرح	joy
فرح	öröm
فرح	örömöt
فرح	farah
صناعات	ágazatok
صناعات	iparágak
الخبرات	szakértelem
الخبرات	szakértelemmel
الخبرات	tapasztalatok
