oli	بود	olla	بود#باش	V;IND;SG;3;PST;FIN;ACT	V;SG;3;PST
hän	او	hän	او	PRO;NOM;SG;3	PRO;SG;3
vuonna	سال	vuosi	سال	N;FRML;SG	N;SG
kello	کلاک	kello	کلاک	N;NOM;SG	N;SG
kello	ساعت	kello	ساعت	N;NOM;SG	N;SG
että	که	että	که	CONJ	CONJ
mutta	ولی	mutta	ولی	CONJ	CONJ
mutta	اما	mutta	اما	CONJ	CONJ
hänen	او	hän	او	PRO;GEN;SG;3	PRO;SG;3
hänen	او	hän	او	PRO;GEN;SG;3	PRO;SG;3
suomen	فنلاندی	suomi	None	N;GEN;SG	N;SG
suomen	فنلاند	suomi	None	N;GEN;SG	N;SG
vuoden	سال	vuosi	سال	N;GEN;SG	N;SG
kun	وقتی	kun	وقتی	CONJ	CONJ
kun	چون	kun	چون	CONJ	CONJ
vain	تنها	vain	تنها	ADV	ADV
vain	فقط	vain	فقط	ADV	ADV
tavua	بایت	tavuta	بایت	N;PRT;SG	N;SG
kaksi	دو	kaksi	دو	NUM;NOM;SG	NUM
hänet	او	hän	او	PRO;ACC;SG;3	PRO;SG;3
yksi	یکی	yksi	یک	NUM;NOM;SG	NUM
yksi	یک	yksi	یک	NUM;NOM;SG	NUM
tulos	نتیجه	tulos	نتیجه	N;NOM;SG	N;SG
tulos	عاقبت	tulos	None	N;NOM;SG	N;SG
tulos	نتیجه	tulos	نتیجه	N;NOM;SG	N;SG
tulos	نتیجه	tulos	نتیجه	N;NOM;SG	N;SG
tulos	حاصل	tulos	حاصل	N;NOM;SG	N;SG
myöhemmin	بعدها	myöhemmin	بعد	ADV	ADV
myöhemmin	بعداً	myöhemmin	بعداً	ADV	ADV
wikipedia	ویکیپدیا	wikipedia	ویکیپدیا	N;NOM;SG	N;SG
wikipedia	ویکیپدیای	wikipedia	ویکیپدیا	N;NOM;SG	N;SG
ensimmäinen	اول	ensimmäinen	اول	ADJ;NOM;SG	ADJ
ensimmäinen	نخستین	ensimmäinen	نخستین	ADJ;NOM;SG	ADJ;RL
osa	جزء	osa	جزء	N;NOM;SG	N;SG
osa	قسمت	osa	قسمت	N;NOM;SG	N;SG
osa	پارت	osa	پارت	N;NOM;SG	N;SG
tammikuuta	ژانویه	tammikuu	ژانویه	N;PRT;SG	N;SG
php	php	php	php	N;NOM;SG	N;SG
syyskuuta	september	syyskuu	september	N;PRT;SG	N;SG
syyskuuta	سپتامبر	syyskuu	سپتامبر	N;PRT;SG	N;SG
eri	متفاوت	eri	متفاوت	ADJ	ADJ
keskustelu	گفتگو	keskustelu	گفتگو	N;NOM;SG	N;SG
keskustelu	مکالمه	keskustelu	مکالمه	N;NOM;SG	N;SG
keskustelu	گفتگوی	keskustelu	گفتگو	N;NOM;SG	N;SG
keskustelu	بحثش	keskustelu	بحثش	N;NOM;SG	N;SG
keskustelu	بحث	keskustelu	بحث	N;NOM;SG	N;SG
keskustelu	مناظره	keskustelu	مناظره	N;NOM;SG	N;SG
keskustelu	گپ	keskustelu	گپ	N;NOM;SG	N;SG
keskustelu	گپی	keskustelu	گذی	N;NOM;SG	N;SG
koska	چون	koska	چون	CONJ	CONJ
maaliskuuta	مارس	maaliskuu	مارس	N;PRT;SG	N;SG
maaliskuuta	پیشروی	maaliskuu	پیشروی	N;PRT;SG	N;SG
maaliskuuta	راهپیمایی	maaliskuu	راهپیمایی	N;PRT;SG	N;SG
huhtikuuta	apr	huhtikuu	apr	N;PRT;SG	N;SG
huhtikuuta	آوریل	huhtikuu	None	N;PRT;SG	N;SG
huhtikuuta	اپریل	huhtikuu	اپریل	N;PRT;SG	N;SG
huhtikuuta	آوریل	huhtikuu	None	N;PRT;SG	N;SG
elokuuta	آگوست	elokuu	آگوست	N;PRT;SG	N;SG
elokuuta	آگست	elokuu	آگست	N;PRT;SG	N;SG
elokuuta	اوت	elokuu	اوت	N;PRT;SG	N;SG
kesäkuuta	ژوئن	kesäkuu	None	N;PRT;SG	N;SG
toukokuuta	مه	toukokuu	مه	N;PRT;SG	N;SG
joulukuuta	دسامبر	joulukuu	دسامبر	N;PRT;SG	N;SG
heinäkuuta	ژوئیه	heinäkuu	ژوئیه	N;PRT;SG	N;SG
heinäkuuta	جولای	heinäkuu	جولا	N;PRT;SG	N;SG
helmikuuta	فوریه	helmikuu	فوریه	N;PRT;SG	N;SG
koko	کل	koko	کل	ADJ	ADJ
marraskuuta	نوامبر	marraskuu	نوامبر	N;PRT;SG	N;SG
vielä	همچنان	vielä	همچنان	ADV	ADV
vielä	هنوزم	vielä	هنوزم	ADV	ADV
vielä	هنوز	vielä	هنوز	ADV	ADV
diff	تفاوت	diff	تفاوت	N;NOM;SG	N;SG
kauden	فصل	kausi	فصل	N;GEN;SG	N;SG
vaikka	هرچند	vaikka	هرچند	CONJ	CONJ
vaikka	اگرچه	vaikka	اگرچه	CONJ	CONJ
vaikka	گرچه	vaikka	گرچه	CONJ	CONJ
vaikka	هرچند	vaikka	هرچند	CONJ	CONJ
vaikka	اگرچه	vaikka	اگرچه	CONJ	CONJ
vaikka	گرچه	vaikka	گرچه	CONJ	CONJ
nimi	نام	nimi	نام	N;NOM;SG	N;SG
vuotta	سال	vuosi	سال	N;PRT;SG	N;SG
seura	باشگاه	seura	باشگاه	N;NOM;SG	N;SG
seura	چماق	seura	چماق	N;NOM;SG	N;SG
seura	کلاب	seura	کلاب	N;NOM;SG	N;SG
seura	کلوب	seura	کلوب	N;NOM;SG	N;SG
seura	کلوپ	seura	کلوپ	N;NOM;SG	N;SG
seura	شرکت	seura	شرکت	N;NOM;SG	N;SG
seura	company	seura	None	N;NOM;SG	N;SG
seura	کمپانی	seura	کمپانی	N;NOM;SG	N;SG
hyvin	خیلی	hyvin	خیلی	ADV	ADV
hyvin	بسیار	hyvin	بسیار	ADV	ADV
kolme	سه	kolme	سه	NUM;NOM;SG	NUM
usein	غالبا	usein	غالبا	ADV	ADV
usein	اغلب	usein	اغلب	ADV	ADV
kuva	فتو	kuva	فتو	N;NOM;SG	N;SG
kuva	photo	kuva	photo	N;NOM;SG	N;SG
kuva	عکس	kuva	عکس	N;NOM;SG	N;SG
kuva	تصویر	kuva	تصویر	N;NOM;SG	N;SG
kuva	نگاره	kuva	نگاره	N;NOM;SG	N;SG
kuva	عکسه	kuva	عکسه	N;NOM;SG	N;SG
kuva	عکس	kuva	عکس	N;NOM;SG	N;SG
alus	مجرا	alus	None	N;NOM;SG	N;SG
alus	سفینه	alus	سفینه	N;NOM;SG	N;SG
alus	کشتی	alus	کشتی	N;NOM;SG	N;SG
yleensä	معمولا	yleensä	معمولاً	ADV	ADV
yleensä	عموما	yleensä	عموما	ADV	ADV
yleensä	عموماً	yleensä	عموما	ADV	ADV
yleensä	معمولا	yleensä	معمولاً	ADV	ADV
yleensä	معمولاً	yleensä	معمولاً	ADV	ADV
sitten	پس	sitten	پس	ADV	ADV
suurin	بزرگترین	suuri	بزرگ	ADJ;NOM;RL;SG	ADJ;RL
uusi	نو	uusi	نو	ADJ;NOM;SG	ADJ
uusi	جدید	uusi	جدید	ADJ;NOM;SG	ADJ
ajan	زمان	aika	زمان	N;GEN;SG	N;SG
ajan	تایم	aika	تایم	N;GEN;SG	N;SG
paljon	بسیار	paljon	بسیار	ADV	ADV
pinta	سطح	pinta	سطح	N;NOM;SG	N;SG
pinta	سطحی	pinta	سطحی	N;NOM;SG	N;SG
helsinki	هلسینکی	helsinki	هلسینکی	N;NOM;SG	N;SG
venäjän	روس	venäjä	روس	N;GEN;SG	N;SG
venäjän	روسیه	venäjä	روسیه	N;GEN;SG	N;SG
venäjän	روسی	venäjä	روسی	N;GEN;SG	N;SG
venäjän	روسیه	venäjä	روسیه	N;GEN;SG	N;SG
pohjois	شمالی	pohjois	شمالی	N;NOM;SG	N;SG
pohjois	نورث	pohjois	نورث	N;NOM;SG	N;SG
pohjois	شمال	pohjois	شمال	N;NOM;SG	N;SG
pohjois	شمالی	pohjois	شمالی	N;NOM;SG	N;SG
pohjois	شمال	pohjois	شمال	N;NOM;SG	N;SG
useita	چندین	usea	چندین	ADJ;PRT;PL	ADJ
useita	چندگانه	usea	چندگانه	ADJ;PRT;PL	ADJ
useita	چندین	usea	چندین	ADJ;PRT;PL	ADJ
maalit	اهداف	maali	هدف	N;NOM;PL	N;PL
jpg	jpg	jpg	jpg	N;NOM;SG	N;SG
yhdessä	باهم	yhdessä	باهم	ADV	ADV
näyttelijä	بازیگر	näyttelijä	بازیگر	N;NOM;SG	N;SG
näyttelijä	actress	näyttelijä	actress	N;NOM;SG	N;SG
näyttelijä	هنرپیشه	näyttelijä	هنرپیشه	N;NOM;SG	N;SG
näyttelijä	بازیگر	näyttelijä	بازیگر	N;NOM;SG	N;SG
näyttelijä	actor	näyttelijä	actor	N;NOM;SG	N;SG
aina	همیشه	aina	همیشه	ADV	ADV
maan	زمین	maa	زمین	N;GEN;SG	N;SG
maan	کانتری	maa	کان	N;GEN;SG	N;SG
maan	کشوری	maa	کشوری	N;GEN;SG	N;SG
maan	کشور	maa	کشور	N;GEN;SG	N;SG
maan	مملکت	maa	مملکت	N;GEN;SG	N;SG
maan	ییلاق	maa	ییلاق	N;GEN;SG	N;SG
elokuva	فیلمی	elo#kuva	فیلم	N;NOM;SG	N;SG
