gibson	깁슨
absolútna	절대
absolútna	절대적
lyžiar	스키
ann	ann
siedmy	일곱번째
patent	특허
odpovede	응답
odpovede	답변
odpovede	답변
odpovede	대답
odpovede	답장
odpovede	응답
odpovede	답글
odpovede	답변
dievčatá	소녀
dievčatá	소녀들
dievčatá	걸스
prijíma	수락
bielkovín	단백질
kat	kat
novinárov	기자
novinárov	저널리스트
pokusov	재판
čaká	기다림
čaká	기다림
písomné	서면
huby	버섯
huby	곰팡이
huby	버섯
huby	곰팡이
role	역할
role	역할
automatické	자동
automatické	자동
detský	아이유
čestné	정직한
čestné	솔직한
čestné	정직하게
čestné	정직
čínskych	중국인
čínskych	중국어
zranenia	부상
popularita	인기
čelo	이마
čelo	이마
čelo	첼로
zlý	bad
zlý	나쁜
zlý	나쁘다
kusy	조각
kusy	삭감
strela	총알
strela	탄환
strela	유도탄
strela	미사일
podzemných	지하
podzemných	언더그라운드
norma	norma
norma	규범
norma	노름
norma	스탠더드
norma	표준
alpy	알프스
rosa	이슬
rosa	이슬이
zvuky	소리
zvuky	소음
recenzie	리뷰
chvíle	moments
chvíle	순간
bankovky	지폐
úpadok	붕괴
úpadok	파산
palestíny	팔레스타인
palestíny	팔레스타인인
minimum	최소
zmiešané	엇갈린다
zmiešané	혼합
julia	율리아
julia	쥘리아
julia	줄리아
laboratórium	실험실
laboratórium	연구소
laboratórium	연구실
laboratórium	lab
laboratórium	연구실
laboratórium	실험실
cover	커버
cover	덮개
cover	표지
miguel	미겔
limit	한계
limit	제한
limit	극한
obnova	갱신
míľ	마일스
míľ	마일리지
míľ	마일
míľ	마일리
míľ	마일즈
base	교도소
base	감옥
misií	미션
guvernér	주지사
kolá	라운드
vnímanie	지각
vnímanie	인식
full	가득
plášť	케이프
stewart	스튜어트
clark	클라크
clark	클라크
lane	줄타기
lane	레인
lane	차로
fyzické	물리적
fyzické	물리
harrison	해리슨
turíne	토리노
morských	마린
morských	해병대
čitateľov	리더
čitateľov	독자
autobusov	버스
pascal	파스칼
znamenie	기호
znamenie	서명
znamenie	사인
copa	코파
javu	현상
vzorky	표본
vzorky	견본
vzorky	샘플링
vzorky	샘플
vzorky	견본
vzorky	샘플
meraní	측정
poradca	컨설턴트
poradca	충고
usporiadania	레이아웃
činy	행동
činy	활동
činy	동작
činy	액션
rozpočtu	예산
katastrofy	재난
katastrofy	재해
zločiny	범죄
koncentrácia	농도
koncentrácia	농도
čiernu	검은색
čiernu	검정
čiernu	검정색
čiernu	블랙
koleso	바퀴
diera	구멍
diera	구멍이
porušenie	침해
porušenie	위반
elektronika	일렉트로닉스
elektronika	전자제품
elektronika	전자공학
jedlo	푸드
jedlo	음식
jedlo	식량
jedlo	식품
jedlo	식사
infekcie	염증
infekcie	감염
infekcie	감염증
infekcie	염증
infekcie	감염
optické	광학
optické	광안리
optické	광화문
summer	여름
edmonton	에드먼턴
spomenúť	언급
spomenúť	언급하기
potvrdené	확정
potvrdené	확인됨
komerčné	상거래
komerčné	커머스
komerčné	상업
komerčné	상용
komerčné	상업용
komerčné	상업
techno	테크노
spôsobov	방법
vietnam	베트남
fasáda	파사드
cudzie	외국인
stratégie	전략
stratégie	전략
výrobné	제조업
výrobné	제조
jednotlivca	개별
jednotlivca	개인
gravitácia	중력
hotela	호텔
lexikón	어휘
zátvorkách	괄호
zátvorkách	괄호
tag	태그
bella	벨라
konflikty	갈등
konflikty	분쟁
konflikty	갈등
konflikty	갈등이
konflikty	충돌
konflikty	분쟁
oto	오토
joachim	요아킴
ukážka	표본
ukážka	견본
ukážka	샘플링
ukážka	샘플
ukážka	미리보기
ukážka	시위
ukážka	시연
švédske	스웨덴어
švédske	스웨덴
švédske	스웨덴인
hnedý	갈색
hnedý	브라운
stôl	탁자
stôl	식탁
stôl	테이블
stôl	데스크
stôl	책상
príspevkov	게시글
príspevkov	게시물
ring	링링
ring	반지
ring	소환
taiwan	타이완
