और	en	और	en		CONJ
से	van	से	van		ADP
से	uit	से	uit		ADP
से	vanaf	से	vanaf		ADP
है	hai	है	hai	V;IND;SG;3;PRS;FIN;ACT	N;MASC+FEM;SG
एक	one	एक	oon	NUM	
एक	een	एक	een	NUM	DET;INDF
एक	eén	एक	eén	NUM	N;MASC+FEM;SG
श्रेणी	reeksen	श्रेणी	reeks	N;NOM;FEM;SG;3	N;PL
श्रेणी	series	श्रेणी	serie	N;NOM;FEM;SG;3	N;PL
श्रेणी	categorieën	श्रेणी	categorieën	N;NOM;FEM;SG;3	N;PL
भी	zelfs	भी	zelfs	PART	ADV
भी	ook	भी	ook	PART	ADV
भी	ook	भी	ook	PART	ADV
यह	dit	यह	dit	PRO;NOM;SG;3	PRO;3
यह	deze	यह	deze	PRO;NOM;SG;3	PRO
किया	done	कर	doon	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
किया	klaar	कर	klaar	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
इस	dit	यह	dit	DET;ACC;SG;3	PRO;3
इस	deze	यह	deze	DET;ACC;SG;3	PRO
कि	dat	कि	dat		PRO;3
भारत	india	भारत	india	PROPN;NOM;MASC;SG;3	PROPN;NEUT;SG
जो	joe	जो	joe	PRO;NOM;SG;3	N;MASC+FEM;SG
जो	wie	जो	wie	PRO;NOM;SG;3	PRO;3
जो	who	जो	who	PRO;NOM;SG;3	
ही	hee	ही	hee	PART	N;MASC+FEM;SG
रूप	form	रूप	form	N;NOM;MASC;SG;3	
रूप	uiterlijk	रूप	uiterlijk	N;NOM;MASC;SG;3	ADJ
कर	belasting	कर	belasting	V;ACT	N;MASC+FEM;SG
कर	belastingen	कर	belastingen	V;ACT	N;PL
कर	belasting	कर	belasting	V;ACT	N;MASC+FEM;SG
कर	belastingen	कर	belastingen	V;ACT	N;PL
नहीं	niet	नहीं	niet	PART;NEG	ADV
नहीं	nope	नहीं	nope	PART;NEG	INTJ
उत्तराखण्ड	uttarakhand	उत्तराखण्ड	uttarakhand	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
साथ	met	साथ	met	ADV;NOM;MASC;SG;3	ADP
पूर्व	oosten	पूर्व	oosten	ADV;NOM;MASC;SG;3	N;NEUT;SG
पूर्व	oost	पूर्व	oost	ADV;NOM;MASC;SG;3	N;MASC+FEM;SG
पूर्व	voormalig	पूर्व	voormalig	ADV;NOM;MASC;SG;3	ADJ
पूर्व	voormalige	पूर्व	voormalig	ADV;NOM;MASC;SG;3	ADJ
होता	zou	हो	zullen	V;IPFV;MASC;SG;V.PTCP;ACT	V;SG;PST;FIN
बाद	later	बाद	laat	ADV;NOM;MASC;SG;3	ADJ;CMPR
बाद	na	बाद	na	ADV;NOM;MASC;SG;3	ADP
बाद	after	बाद	after	ADV;NOM;MASC;SG;3	
तक	tot	तक	tot	CONJ	ADP
तक	till	तक	till	CONJ	N;MASC+FEM;SG
तक	tak	तक	tak	CONJ	N;MASC+FEM;SG
अपने	eigen	अपना	eigen	PRO;NOM;MASC	ADJ
अपने	jouw	अपना	jou	PRO;NOM;MASC	PRO;ACC;2
जिले	districten	जिला	district	N;NOM;MASC;SG;3	N;PL
जिले	wijken	जिला	wijken	N;NOM;MASC;SG;3	N;PL
था	hadden	था	hebben	V;MASC;IND;SG;PST;FIN;ACT	V;PL;PST;FIN
था	had	था	hebben	V;MASC;IND;SG;PST;FIN;ACT	V;SG;PST;FIN
था	gehad	था	hebben	V;MASC;IND;SG;PST;FIN;ACT	V;V.PTCP
राज्य	staten	राज्य	state	N;NOM;MASC;SG;3	N;PL
राज्य	staat	राज्य	staan	N;NOM;MASC;SG;3	V;SG;PRS;FIN
बाहरी	buiten	बाहरी	buiten	ADJ;NOM	ADP
बाहरी	buitenste	बाहरी	buitenst	ADJ;NOM	N;MASC+FEM;SG
बाहरी	buiten	बाहरी	buiten	ADJ;NOM	ADP
बाहरी	buitenshuis	बाहरी	buitenshuis	ADJ;NOM	ADV
कुछ	enkele	कुछ	enkele	DET	PRO
कुछ	sommigen	कुछ	sommigen	DET	PRO
कुछ	sommige	कुछ	sommig	DET	PRO
कुछ	iets	कुछ	iets	DET	PRO;3
गाँव	dorpje	गाँव	dorp	N;NOM;MASC;PL;3	N;NEUT;SG
गाँव	dorp	गाँव	dorp	N;NOM;MASC;PL;3	N;NEUT;SG
सरकार	kriebels	सरकार	kriebel	N;NOM;FEM;SG;3	N;PL
कड़ियाँ	ketenen	कड़ी	ketenen	N;NOM;FEM;PL;3	V;NFIN
कड़ियाँ	links	कड़ी	links	N;NOM;FEM;PL;3	ADJ
इसके	its	यह	its	PRO;MASC;SG;3	
अन्य	overige	अन्य	overig	N;NOM;MASC;SG;3	ADJ
अन्य	andere	अन्य	ander	N;NOM;MASC;SG;3	ADJ
अन्य	ander	अन्य	ander	N;NOM;MASC;SG;3	ADJ
अन्य	overig	अन्य	overig	N;NOM;MASC;SG;3	
अन्य	overige	अन्य	overig	N;NOM;MASC;SG;3	ADJ
अन्य	andere	अन्य	ander	N;NOM;MASC;SG;3	ADJ
अन्य	overigen	अन्य	overigen	N;NOM;MASC;SG;3	ADJ
अन्य	anderen	अन्य	ander	N;NOM;MASC;SG;3	ADJ
जा	jaa	जा	jaa	V;ACT	INTJ
वर्ष	jaren	वर्ष	jaar	N;NOM;MASC;SG;3	N;PL
प्रकार	typ	प्रकार	typ	N;NOM;MASC;SG;3	V;SG;PRS;FIN
प्रकार	typen	प्रकार	typen	N;NOM;MASC;SG;3	V;NFIN
प्रकार	soorten	प्रकार	soort	N;NOM;MASC;SG;3	N;PL
प्रकार	types	प्रकार	type	N;NOM;MASC;SG;3	N;PL
भारतीय	indisch	भारतीय	indisch	PROPN;NOM;SG;3	ADJ
भारतीय	indiaas	भारतीय	indiaas	PROPN;NOM;SG;3	ADJ
भारतीय	indiaan	भारतीय	indiaan	PROPN;NOM;SG;3	N;MASC+FEM;SG
भारतीय	indiase	भारतीय	indiase	PROPN;NOM;SG;3	ADJ
भारतीय	indische	भारतीय	indisch	PROPN;NOM;SG;3	ADJ
किसी	iemand	कोई	iemand	PRO;ACC;SG;3	PRO;3
क्षेत्र	oppervlakten	क्षेत्र	oppervlakte	N;NOM;MASC;SG;3	N;PL
क्षेत्र	gebieden	क्षेत्र	gebied	N;NOM;MASC;SG;3	N;PL
अधिक	more	अधिक	more	DET	
अधिक	meer	अधिक	veel	DET	PRO
कई	veel	कई	veel	DET	PRO
कई	velen	कई	veel	DET	PRO
कई	vele	कई	veel	DET	PRO
कई	meerdere	कई	meerdere	DET	PRO
कई	verschillende	कई	verschillend	DET	ADJ
कई	verscheidene	कई	verscheidene	DET	ADJ
वाले	wale	वाला	wale	V;MASC;PL;FIN;ACT	N;MASC+FEM;SG
स्थित	gelokaliseerd	स्थित	lokaliseren	ADJ	V;V.PTCP
मण्डल	gebied	मण्डल	gebied	PROPN;NOM;MASC;SG;3	N;NEUT;SG
मण्डल	zone	मण्डल	zone	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
आधिकारिक	ambtenaar	आधिकारिक	ambtenaar	ADJ	N;MASC+FEM;SG
कारण	redenen	कारण	reden	N;NOM;MASC;SG;3	N;PL
कारण	veroorzaken	कारण	veroorzaken	N;NOM;MASC;SG;3	V;NFIN
कारण	veroorzaakt	कारण	veroorzaken	N;NOM;MASC;SG;3	V;V.PTCP
कारण	oorzaken	कारण	oorzaak	N;NOM;MASC;SG;3	N;PL
जैसे	like	जैसे	lik	CONJ	
करता	pestkoppen	कर	pestkop	V;IPFV;MASC;SG;V.PTCP;ACT	N;PL
उनके	hun	वह	hun	PRO;MASC;SG;3;FORM	PRO;ACC;3
उनके	hen	वह	hen	PRO;MASC;SG;3;FORM	PRO;ACC;3
सबसे	meesten	सबसे	veel	ADJ;NOM	PRO
सबसे	most	सबसे	mosten	ADJ;NOM	
सबसे	meeste	सबसे	veel	ADJ;NOM	PRO
सबसे	meest	सबसे	veel	ADJ;NOM	PRO
हिन्दी	hindi	हिन्दी	hindi	PROPN;NOM;FEM;SG;3	ADJ
बहुत	zeer	बहुत	zeer	DET	ADV
पहले	voordat	पहले	voordat	ADV;NOM;MASC;SG;3	CONJ
पहले	vóór	पहले	voor	ADV;NOM;MASC;SG;3	ADP
पहले	eerste	पहले	één	ADV;NOM;MASC;SG;3	ADJ
अपनी	eigen	अपना	eigen	PRO;NOM;FEM	ADJ
अपनी	vleselijke	अपना	vleselijk	PRO;NOM;FEM	ADJ
दो	two	दो	two	NUM	
