天花	pokke
水路	waterweg
大麻	cannabis
大麻	dagga
大麻	onkruid
可疑	verdagte
可疑	verdag
小丑	nar
小丑	clown
小丑	gloei
抗生素	antibiotika
專營	franchise
關島	guam
字面	literal
自轉	rotasie
大通	chase
破碎	gebreekte
破碎	stukkend
破碎	gebroke
破碎	gebreek
語氣	skakering
語氣	tone
老年	ouer
隔離	isolation
隔離	isolasie
隔離	geïsoleerde
生病	siek
摔跤	stoei
高爾夫球	gholf
證書	sertifikaat
濟南	jinan
山脊	rif
惡作劇	kattekwaad
佈局	uitlegte
佈局	uitleg
日產	nissan
拳擊	boks
青蛙	paddas
青蛙	padda
面板	paneel
面板	panel
高效	doeltreffende
高效	doeltreffend
高效	doeltreffend
探險家	verkenner
探險家	explorer
拖延	vertraging
拖延	vertragings
伴隨	gepaardgaande
骨灰	ashes
安息	rip
預留	gereserveer
震撼	shook
搶救	salvage
商家	handelaar
執照	lisensies
執照	lisensie
執照	lisensie
煩惱	geïrriteerd
鮑威爾	powell
混合物	mengsel
粉紅色	pienk
軍營	kaserne
頸部	nek
脆弱	fragile
脆弱	brose
脆弱	kwesbare
定制	eie
定制	pasmaak
定制	verpersoonlik
定制	aangepas
火花	sparks
火花	sterre
火花	sterretjies
火花	spark
脈衝	pulse
脈衝	pols
莽	mang
電器	toebehore
電器	toestelle
客房	kamers
客房	rooms
協和	concord
伸展	strek
伸展	rek
餐飲	eetplekke
餐飲	spyseniering
亞馬遜	amazon
眼淚	skeur
眼淚	tears
眼淚	trane
特赦	amnestie
電影院	teater
電影院	cinema
休假	los
休假	verlof
休假	verlaat
口音	accent
口音	aksent
領導者	leier
領導者	leiers
言語	woorde
肢	ledemate
王座	throne
容忍	tolerance
四重奏	kwartet
州際公路	interstate
核糖	ribose
偏好	voorkeur
糖果	lekkergoed
山寨	kothuis
利潤	profit
利潤	winsgewende
利潤	winsgewend
範例	paradigm
範例	voorbeelde
範例	voorbeelde
範例	voorbeeld
施政	governance
切換	wissel
切換	skakelaar
切換	wissel
琮	cong
瘟疫	plaag
蚜	plantluis
捍衛	verdedig
奔跑	hardloop
括號	bracket
括號	hakkies
括號	hakies
震驚	shocking
震驚	shock
震驚	skok
震驚	geskok
貨櫃	houer
協作	samewerking
無視	ignoreer
代理人	agente
代理人	volmag
代理人	instaan
代理人	agent
材質	gegewens
材質	rots
材質	materiaal
呂宋	luzon
美味	daai
美味	delicious
虧損	verlies
熔	melt
口袋	pocket
口袋	broeksak
蜜蜂	bye
蜜蜂	bee
安第斯山脈	andes
硫磺	swael
硫磺	swawel
硫磺	swael
茉莉	molly
療法	therapy
包機	chartered
注意力	aandag
狐狸	jakkals
狐狸	fox
站立	staande
站立	staan
站立	staan
風車	windpomp
風車	windmeul
風車	windpompe
印度支那	indosjina
對峙	konfrontasie
常年	meerjarige
鍋	pot
職責	plig
職責	pligte
孵化	hatch
大連	dalian
文藝復興	renaissance
忠誠	lojaal
忠誠	loyal
忠誠	lojale
忠誠	faithful
祖國	moederland
祖國	bantoestan
祖國	bekers
休士頓	houston
舍利	cheri
供電	elektrisiteit
四肢	ledemate
莎莉	sally
視窗	windows
視窗	vensters
視窗	venster
視窗	kykers
抗原	antigene
老化	veroudering
多哈	doha
守護者	guardian
守護者	voog
守護者	voogde
經紀人	makelaar
仇恨	haat
菩提	bodhi
穩定性	stabiliteit
混沌	chaos
鑰匙	sleutel
鑰匙	key
世襲	hereditary
櫻桃	cherry
櫻桃	kersies
執事	deacon
哀悼	simpatie
摩托車	motorfiets
摩托車	motorfietse
地雷	myne
安慰	gemak
安慰	troos
空手道	karate
乾燥	droë
乾燥	dry
乾燥	droog
點數	krediete
點數	loubser
點數	uraan
點數	punte
警示	waarskuwings
警示	waarskuwing
潛力	potensiaal
勞倫斯	lawrence
班級	klasse
班級	klas
長年	meerjarige
奧斯汀	austin
吉野	yoshino
推算	ekstrapolasie
送出	stuur
管理者	bestuurder
管理者	bestuurders
哈桑	hassan
聚焦	fokus
全景	panorama
佐賀	saga
後宮	harem
佛羅里達	florida
誤導	misleidende
誤導	misleidend
誤導	wanvoorstelling
比丘	picchu
腎	nier
波恩	bonn
回憶錄	memoirs
回憶錄	memoir
鈎	hook
觸發	sneller
香水	geure
香水	fragrance
香水	parfuum
美式	amerikaans
美式	american
美式	amerikaanse
診所	klinieke
診所	kliniek
大膽	vet
大膽	vetdruk
感知	perception
鈣	kalsium
關節	gesamentlike
關節	joint
淡出	verdof
淡出	opskrif
煤礦	kole
煤礦	steenkool
學期	semester
學期	termyn
占卜	wiggelary
侵蝕	erosie
後勤	logistiek
後勤	logistieke
後勤	logistieke
固體	soliede
固體	solied
鼻子	neus
芝麻	sesame
瓷器	porselein
勐	mueang
諜	spy
訂單	orde
訂單	bestel
訂單	volgorde
訂單	bestelling
訂單	rangskik
訂單	orders
訂單	bestellings
特權	voorreg
特權	voorregte
漁民	vissermanne
猩猩	gorilla
猩猩	orangutan
證人	getuies
證人	getuienis
日內瓦	geneva
梅森	mason
本體	ontologie
女巫	heks
女巫	hekse
擁抱	drukkie
擁抱	drukkies
西邊	wes
陣列	skikkings
陣列	skikking
耐心	geduld
紡織	tekstiel
紡織	tekstiele
潛水	duik
潛水	diving
潛水	duik
合法性	wettigheid
竇	hond
竇	dou
吸引力	aantrekkingskrag
吸引力	aantreklikheid
吸引力	aantreklike
